"","Eli_repA_tech1.sorted.bam","Eli_repB_tech1.2.sorted.bam","Eli_repC_tech1.sorted.bam","Elizabeth_repA_tech1.sorted.bam","Elizabeth_repB_tech1.2.sorted.bam","Elizabeth_repC_tech1.sorted.bam","Eric_repA_tech1.sorted.bam","Eric_repB_tech1.2.sorted.bam","Eric_repC_tech1.sorted.bam","Ethan_repA_tech1.sorted.bam","Ethan_repB_tech1.2.sorted.bam","Ethan_repC_tech1.sorted.bam"
"NM_015045",1852,1518,4327,2250,1953,420,2505,1299,1148,2777,2013,2143
"NM_015047",1134,1098,1765,979,1319,485,1113,557,413,1618,1072,979
"NM_015049",514,361,783,470,468,104,571,259,231,678,394,488
"NM_015050",2750,3840,5133,1827,3402,946,2175,1691,732,3226,3464,2020
"NM_015051",1335,1114,3204,871,886,326,1526,614,691,1501,913,1248
"NM_015054",605,527,2025,808,742,175,714,417,404,803,786,844
"NM_015055",2945,2440,5748,4114,3279,914,3518,1694,1217,4477,2654,2577
"NM_015056",1710,1345,2176,1133,1223,522,1300,782,526,2652,1843,1657
"NM_015057",9260,8344,21888,9825,8814,1504,10587,5896,4333,11999,8640,9047
"NM_015058",1115,1339,2704,1229,1461,289,1499,976,638,1532,1481,1264
"NM_015059",26,24,45,4,21,4,24,11,8,59,41,27
"NM_015060",1304,1245,2492,1193,1263,320,1610,788,574,1617,1272,1063
"NM_015063",1,1,12,2,0,1,4,0,1,2,0,3
"NM_015072",535,306,848,471,411,125,490,227,223,559,301,423
"NM_015073",1785,1045,3500,1175,909,632,1345,534,816,1908,734,1230
"NM_015074",671,300,1171,427,257,179,412,186,274,776,287,574
"NM_015077",551,618,1450,399,615,277,493,408,293,492,524,526
"NM_015078",26,22,65,21,14,1,43,24,25,36,25,37
"NM_015079",1247,1248,2499,839,1154,405,871,668,429,1192,993,805
"NM_015082",0,1,4,1,0,1,0,0,1,1,4,0
"NM_015086",72,155,182,54,153,27,61,106,36,110,138,74
"NM_015089",1101,821,2122,782,868,439,982,471,454,1050,796,925
"NM_015092",7888,5834,16998,9119,6817,1731,9607,3998,4614,9031,5080,7779
"NM_015093",1453,973,4510,2000,1076,409,2074,759,1067,2283,1083,1877
"NM_015094",191,243,527,98,193,55,130,163,107,211,178,157
"NM_015100",2547,773,4396,2410,886,1081,2314,424,1194,2826,556,1895
"NM_015103",11,12,45,31,14,8,6,9,21,14,10,28
"NM_015104",310,420,852,291,278,162,412,266,263,439,283,384
"NM_015110",880,532,2921,2002,995,217,1454,657,885,1171,885,1644
"NM_015111",394,1214,1041,247,690,170,375,599,219,499,588,337
"NM_015112",726,714,1435,642,750,302,647,388,435,810,615,756
"NM_015113",2801,2148,4777,2374,2170,968,2516,1188,1167,3011,1715,1911
"NM_015114",1582,1491,2834,1927,2273,952,1646,1052,770,2059,1738,1604
"NM_015116",1738,1176,3861,2575,1479,371,2524,1019,1339,2193,1149,1661
"NM_015120",1077,838,2128,1015,1046,179,947,616,418,1199,946,1157
"NM_015123",33,36,92,19,19,12,12,17,34,7,15,23
"NM_015124",186,295,382,286,472,137,183,168,70,200,241,186
"NM_015127",862,419,1639,702,425,145,970,279,418,879,418,644
"NM_015130",378,130,238,245,251,45,131,45,16,361,214,270
"NM_015131",1558,1219,2761,1521,1683,315,1940,1121,757,1900,1870,1544
"NM_015132",512,702,1805,654,756,94,883,671,463,792,972,724
"NM_015134",2068,1892,3752,1874,2407,919,1944,1247,958,2467,1763,1825
"NM_015136",0,0,6,0,1,0,1,1,0,0,0,0
"NM_015137",1249,965,2532,1372,1215,201,1479,861,617,1763,1397,1338
"NM_015138",1087,537,2084,1077,595,457,1226,328,568,1519,500,1053
"NM_015139",624,497,1079,466,460,125,843,412,332,800,557,642
"NM_015140",765,1198,1583,525,1194,309,793,982,451,1006,1367,1013
"NM_015141",34,27,37,39,58,26,62,58,20,37,53,62
"NM_015143",670,491,1140,557,534,213,724,413,304,889,485,568
"NM_015144",60,29,132,41,52,46,105,41,61,60,33,57
"NM_015150",4948,6813,8738,5033,6928,1812,5882,4537,2101,6442,6112,3972
"NM_015155",3750,1748,6207,3265,2017,1150,3537,1236,1545,4520,1950,2771
"NM_015156",598,299,882,657,470,186,648,220,275,736,294,508
"NM_015157",1,1,16,1,6,1,3,5,3,1,4,1
"NM_015161",2857,3787,5535,2800,4371,784,3393,2870,1363,3394,4456,2458
"NM_015163",20,11,48,9,11,8,14,3,6,7,7,7
"NM_015164",1061,1608,2537,743,1168,463,883,793,526,1338,1286,1051
"NM_015166",4,33,22,4,10,0,1,13,2,15,18,10
"NM_015167",446,826,897,366,618,153,420,364,155,531,495,303
"NM_015168",1233,977,2001,828,1017,503,896,493,362,1406,779,1016
"NM_015170",1,0,0,2,1,0,0,0,1,0,3,1
"NM_015172",6960,3984,20594,9935,4358,2529,9226,2385,4539,10756,3720,8716
"NM_015174",13,8,62,5,0,1,20,6,13,10,4,8
"NM_015175",2493,1749,4847,1984,2017,1183,1968,948,1095,2614,1278,2667
"NM_015176",639,498,1315,613,572,123,654,399,303,783,610,503
"NM_015177",1183,885,2244,2382,1637,902,1556,770,752,2465,1428,1601
"NM_015180",7682,4450,20673,3279,2549,560,4418,2247,2780,5139,3628,4221
"NM_015188",297,368,584,261,359,71,414,350,217,370,477,417
"NM_015190",460,627,906,459,823,178,533,453,205,686,868,487
"NM_015191",797,631,1724,634,481,238,696,329,368,945,526,705
"NM_015192",1,1,1,4,3,0,1,0,0,5,12,17
"NM_015193",1,6,4,0,0,0,1,4,1,1,4,0
"NM_015194",1022,769,1797,1412,1307,467,1051,560,612,1225,763,1100
"NM_015196",6627,4268,11816,6349,4292,1597,7301,2447,3014,7098,3218,5188
"NM_015199",1376,1172,2995,1130,1134,195,1988,1020,975,1694,1250,1376
"NM_015201",478,1116,914,393,1233,253,351,836,174,720,1295,546
"NM_015202",378,400,747,269,349,125,266,205,153,355,300,297
"NM_015204",3,0,3,0,4,0,2,0,0,0,2,1
"NM_015206",16,33,65,11,9,7,18,10,9,43,22,23
"NM_015207",419,280,832,390,270,114,414,189,213,503,282,375
"NM_015208",1308,786,9626,2620,1538,768,2035,1152,2142,1820,1886,4225
"NM_015210",3,2,2,1,2,3,0,2,2,5,2,0
"NM_015213",2053,2232,3887,2226,3564,1152,1786,1384,967,1675,1493,1203
"NM_015221",3291,1788,5569,1763,1438,913,2805,1027,1195,2361,988,1408
"NM_015225",87,85,271,6,10,3,48,24,9,31,46,46
"NM_015226",1452,1210,2650,1304,1062,557,1295,624,585,1744,1076,1115
"NM_015231",1837,1314,2615,1668,1505,564,1707,824,631,2017,1387,1393
"NM_015234",0,0,4,0,0,0,1,0,0,0,0,0
"NM_015235",494,607,1108,495,670,152,547,386,211,703,643,487
"NM_015237",3,1,29,3,5,4,12,6,13,5,10,18
"NM_015241",1376,813,2696,881,720,573,1315,515,608,1261,615,1253
"NM_015245",297,242,517,183,232,98,260,115,129,310,155,205
"NM_015246",1344,831,3078,1045,608,539,1095,373,625,1818,610,1322
"NM_015247",3265,2914,7145,4788,3656,836,4428,2178,1768,4724,3733,3790
"NM_015250",603,718,1335,386,634,171,527,409,228,574,580,456
"NM_015251",484,673,1013,461,799,206,520,448,293,721,799,543
"NM_015253",0,2,0,0,1,0,0,2,0,3,1,0
"NM_015254",1149,848,1806,843,892,274,885,411,271,1463,880,759
"NM_015255",1593,1321,3875,1960,1636,336,2142,1086,1084,1650,1345,1554
"NM_015257",1190,656,2535,1162,647,334,1551,561,880,1376,682,1127
"NM_015258",1366,1332,2160,1019,1411,422,1709,854,521,1429,1122,907
"NM_015261",1396,1021,1938,992,942,436,1469,721,543,1258,841,1149
"NM_015263",1164,1207,3645,2353,2122,314,1179,770,532,1560,1333,1284
"NM_015265",1,1,0,0,0,0,0,0,0,0,0,1
"NM_015267",0,0,8,5,7,16,7,5,6,5,4,8
"NM_015270",105,81,152,27,29,6,9,10,3,59,26,35
"NM_015272",115,77,349,167,113,25,150,83,92,151,169,215
"NM_015276",2994,4240,5107,1919,3561,1177,2786,2462,1373,3389,3218,2321
"NM_015283",187,138,277,83,90,11,183,107,88,167,89,85
"NM_015289",2331,1970,4284,2005,1612,690,2091,912,954,2235,1294,1417
"NM_015295",3015,3050,9687,4238,3756,607,5016,2899,2609,4257,4284,4704
"NM_015299",1636,2349,3883,1103,2023,629,1495,1365,793,1960,2203,1524
"NM_015302",357,488,800,277,410,122,390,300,204,372,375,371
"NM_015305",414,387,977,393,484,245,436,341,267,413,322,455
"NM_015306",2409,1768,4660,2858,2420,436,3452,1522,1422,3017,2251,2695
"NM_015307",22,21,63,3,2,2,15,5,11,44,64,34
"NM_015310",4,2,3,56,77,6,0,4,0,2,14,2
"NM_015311",3,6,3,3,2,1,5,1,0,1,9,1
"NM_015312",1827,1821,7139,2984,2315,460,2839,1604,1831,2393,2015,2880
"NM_015313",1817,1591,4245,2285,2120,449,2442,1340,1158,2246,1853,1885
"NM_015316",234,158,409,148,121,92,267,127,121,217,108,183
"NM_015320",3,4,20,2,1,0,14,17,9,0,1,0
"NM_015321",81,39,151,41,37,31,45,34,51,87,31,85
"NM_015322",1142,1024,2684,1495,1341,238,1630,940,621,1610,1358,1200
"NM_015323",816,712,2904,1040,881,152,1210,742,772,1127,1045,1119
"NM_015324",577,659,1200,462,571,154,619,449,304,671,633,463
"NM_015325",929,715,2793,1364,1025,226,1201,569,608,1370,1065,1213
"NM_015329",751,907,1748,567,860,336,673,513,358,898,708,661
"NM_015330",908,1149,1953,998,1337,261,1018,689,470,1148,1169,832
"NM_015332",1191,2152,2214,836,2037,433,1288,1357,568,1317,1976,919
"NM_015335",1359,1090,3843,1268,910,336,2762,1162,1589,1369,981,2024
"NM_015336",536,500,1483,622,689,102,788,388,308,672,560,560
"NM_015340",693,982,919,535,940,233,729,610,251,836,935,557
"NM_015342",456,418,1537,634,563,105,626,377,388,649,541,606
"NM_015343",953,525,2253,636,432,361,1018,242,488,1287,403,923
"NM_015344",345,245,534,269,312,80,331,187,142,469,342,327
"NM_015345",34,47,59,7,4,0,7,0,1,10,11,4
"NM_015346",1879,1263,2537,1474,1383,584,1485,646,560,2188,1229,1308
"NM_015347",38,13,114,544,226,123,94,28,63,404,147,223
"NM_015348",2786,1571,6314,4080,1965,759,3742,971,1567,3620,1307,2492
"NM_015349",1170,559,2276,887,588,360,1004,314,532,1193,485,781
"NM_015351",334,313,700,420,403,187,451,212,199,547,361,372
"NM_015353",315,554,723,267,504,136,248,287,211,371,492,337
"NM_015354",2452,1850,4238,1799,1693,864,2073,1053,1079,2646,1435,1865
"NM_015355",1496,886,4333,2144,1135,388,2334,800,1174,1989,1235,2305
"NM_015358",521,738,2036,790,987,186,914,855,574,953,1378,1203
"NM_015360",971,1048,2584,1278,1499,222,1449,1002,694,1247,1492,1414
"NM_015368",201,309,347,288,460,88,199,246,82,295,329,223
"NM_015370",0,0,0,0,0,0,1,0,0,0,0,0
"NM_015374",1260,2212,2500,951,2478,596,1167,1465,643,1511,2039,1282
"NM_015379",189,367,712,153,248,116,178,168,122,356,202,224
"NM_015380",667,905,1010,445,865,211,600,486,207,856,916,500
"NM_015382",2130,2877,6335,2795,3482,507,3397,2488,1735,2771,3420,2732
"NM_015383",2492,1838,4775,1839,1489,706,2645,1012,936,2645,1293,2159
"NM_015384",1898,1394,8765,3197,1876,519,2618,1465,1876,2281,1692,3420
"NM_015385",19,6,27,39,50,19,47,17,11,47,30,33
"NM_015388",435,775,843,303,660,185,462,404,272,569,617,443
"NM_015391",273,298,642,278,358,55,352,254,171,351,400,274
"NM_015392",6,3,4,27,9,6,1,1,1,14,9,28
"NM_015393",723,409,631,373,511,260,396,177,58,501,340,407
"NM_015394",96,100,369,139,134,27,92,83,82,127,100,104
"NM_015395",284,496,727,260,609,178,250,334,181,300,455,333
"NM_015397",1295,913,2114,1024,987,499,1263,600,522,1716,968,1084
"NM_015404",17,10,43,17,4,7,71,34,47,26,13,31
"NM_015407",36,88,46,13,73,22,10,48,15,35,107,40
"NM_015409",2781,719,4637,2057,721,1095,2243,440,1304,2986,604,2093
"NM_015417",1,3,1,1,3,0,1,1,0,0,1,2
"NM_015420",474,699,1094,506,883,121,482,547,200,642,855,508
"NM_015423",636,558,1381,680,771,126,898,449,301,919,880,756
"NM_015424",2,0,1,0,0,0,0,0,0,0,0,1
"NM_015425",1999,1403,2539,1610,1619,793,1630,758,650,2591,1309,1525
"NM_015429",1,1,5,2,0,2,2,0,2,9,0,5
"NM_015431",0,0,1,0,0,0,0,1,0,0,1,1
"NM_015434",992,775,1711,1009,952,219,1061,598,407,1223,889,881
"NM_015435",2858,2937,9191,4138,3870,740,4061,2555,2087,3541,3619,3836
"NM_015439",195,235,439,203,220,85,212,164,107,174,230,183
"NM_015447",1022,1555,1932,974,1821,504,1013,1238,671,1501,1774,1151
"NM_015456",476,1170,1238,407,1088,218,515,744,257,685,1063,506
"NM_015457",1629,1611,2740,1329,1734,662,1437,774,575,1963,1396,1249
"NM_015458",682,523,1616,901,714,155,849,484,371,975,714,665
"NM_015461",1,0,8,2,2,0,13,1,0,1,0,0
"NM_015462",820,890,1796,821,1334,257,1073,788,452,1055,1309,915
"NM_015464",0,0,0,0,0,0,0,0,0,0,0,0
"NM_015465",842,996,1337,704,996,313,957,636,363,1110,993,703
"NM_015470",6,17,38,0,0,1,4,6,0,13,10,1
"NM_015471",603,356,1269,623,491,107,661,284,271,727,484,590
"NM_015473",225,271,517,329,394,64,372,236,179,334,377,409
"NM_015474",576,370,759,219,417,118,318,213,60,470,404,261
"NM_015475",714,535,1380,696,680,182,763,353,256,1183,640,609
"NM_015480",1,0,3,0,0,0,0,0,0,1,0,0
"NM_015482",19,12,34,36,24,9,23,3,1,61,29,43
"NM_015483",607,568,1118,557,593,130,626,470,278,622,579,468
"NM_015488",93,87,257,61,55,27,56,41,48,77,62,129
"NM_015490",735,308,1619,472,287,228,622,175,438,598,246,672
"NM_015492",1575,660,3188,1180,784,912,1225,393,758,1987,551,1856
"NM_015496",1400,1373,3579,1620,1767,287,1943,1272,779,1930,1770,1475
"NM_015497",638,706,1449,593,851,174,630,518,275,878,964,603
"NM_015500",712,634,1857,774,596,225,873,408,478,844,495,701
"NM_015506",220,204,347,138,216,84,170,106,53,229,197,170
"NM_015508",1445,1898,5536,1492,1505,264,2452,1657,1594,1844,1748,1743
"NM_015509",454,488,854,379,541,118,561,354,210,571,572,377
"NM_015510",109,205,237,80,296,50,99,132,45,150,237,81
"NM_015511",351,717,770,310,722,141,368,464,181,489,716,372
"NM_015512",1194,598,2245,692,661,418,805,429,566,723,400,875
"NM_015516",7,3,10,21,12,3,0,6,3,21,20,6
"NM_015520",13,21,38,201,208,132,44,40,47,26,27,132
"NM_015522",83,103,301,79,100,16,82,72,63,87,63,102
"NM_015523",20,27,44,36,52,12,34,39,28,55,68,48
"NM_015526",67,11,187,97,11,22,68,6,17,114,5,44
"NM_015527",477,682,1109,358,606,236,418,435,245,656,596,490
"NM_015529",287,130,229,212,251,81,88,42,27,1128,698,310
"NM_015531",718,389,1145,555,439,176,552,194,239,782,337,506
"NM_015535",147,120,275,26,36,14,22,20,9,92,88,86
"NM_015537",507,727,1196,342,656,208,452,521,254,643,601,578
"NM_015540",571,493,1232,391,465,222,626,217,243,664,397,495
"NM_015543",777,721,2178,707,685,228,995,466,437,1089,825,732
"NM_015544",0,2,0,0,1,0,0,0,0,1,3,2
"NM_015550",1722,1059,2641,2379,1615,325,1234,510,475,2887,1628,1478
"NM_015551",2,0,2,4,0,0,1,0,0,1,0,1
"NM_015553",394,212,349,49,32,9,105,32,15,380,235,67
"NM_015555",898,980,3037,1284,1065,210,1600,811,837,1106,1090,1166
"NM_015557",10,15,34,13,8,8,13,5,5,37,8,4
"NM_015559",590,417,1460,516,399,151,817,345,348,1054,572,1005
"NM_015562",4542,3043,11137,5234,3140,791,5152,1913,2480,5280,3248,4017
"NM_015564",4,2,9,3,0,2,10,2,2,4,0,1
"NM_015565",865,1065,3116,1464,1431,200,1375,986,750,1737,1995,1623
"NM_015566",109,93,227,220,188,15,330,278,225,342,669,721
"NM_015567",0,6,10,0,0,0,0,0,0,1,0,0
"NM_015577",16,8,54,321,276,109,28,16,15,46,42,67
"NM_015584",1028,1897,1823,787,1873,424,1017,1115,367,1418,1782,844
"NM_015585",0,2,0,0,0,0,0,0,0,0,0,0
"NM_015589",386,303,831,199,152,39,294,126,127,205,151,182
"NM_015597",2,2,4,0,5,0,2,0,1,0,3,3
"NM_015600",382,882,907,210,576,102,306,415,168,387,563,415
"NM_015602",757,547,1592,725,545,104,806,362,351,1026,673,666
"NM_015603",177,194,465,107,150,80,151,131,95,272,138,151
"NM_015608",1015,788,1815,851,784,140,962,477,390,980,879,819
"NM_015613",0,0,1,0,0,0,0,0,0,0,0,0
"NM_015617",0,1,0,0,0,1,0,0,1,0,0,0
"NM_015621",1963,2681,3944,1237,2091,613,2030,1276,830,2044,1686,1173
"NM_015622",976,953,2114,720,1305,309,854,774,404,1153,1393,864
"NM_015626",4686,2734,14531,4183,2455,1082,5356,1701,2962,6216,2813,5227
"NM_015627",122,140,249,61,211,59,116,78,58,121,127,106
"NM_015629",558,883,1051,423,1093,222,480,548,230,767,1008,503
"NM_015630",280,286,687,416,420,57,421,261,185,404,342,387
"NM_015631",788,901,1288,707,1029,263,695,454,271,1089,981,664
"NM_015634",249,251,514,359,340,89,292,125,83,428,354,347
"NM_015641",1199,1025,1797,1381,1578,465,1152,655,355,1796,1316,1003
"NM_015642",1181,833,3341,958,586,111,1244,698,569,1387,889,1330
"NM_015645",0,5,0,0,0,1,2,0,0,0,0,0
"NM_015650",159,125,258,130,106,45,178,53,56,207,119,164
"NM_015653",27,24,21,15,20,3,24,4,4,8,4,0
"NM_015655",487,359,1009,440,429,175,527,300,277,523,356,533
"NM_015656",3,4,9,3,4,1,1,4,0,2,1,0
"NM_015658",716,1721,1474,505,1692,327,636,1018,292,1050,1696,705
"NM_015659",3248,2725,8088,3615,2714,1004,4249,2046,1729,4608,3208,3569
"NM_015660",471,367,914,400,610,131,443,333,199,475,636,436
"NM_015662",346,290,761,279,261,144,475,184,176,293,225,230
"NM_015666",302,588,495,199,395,122,230,270,118,339,459,247
"NM_015667",0,0,0,0,0,0,0,0,0,0,0,0
"NM_015669",2,0,2,1,0,2,2,0,1,4,0,0
"NM_015670",532,1559,1088,429,1597,253,452,784,244,769,1531,555
"NM_015672",9,30,33,3,16,4,11,23,13,7,26,14
"NM_015677",166,66,255,182,68,23,269,91,78,206,144,252
"NM_015678",50,67,215,37,52,4,47,38,15,37,45,71
"NM_015679",395,618,678,245,620,125,311,394,121,415,705,332
"NM_015684",50,52,153,64,55,23,112,60,22,80,49,48
"NM_015688",0,0,8,3,0,1,0,0,5,2,1,2
"NM_015689",1,2,11,0,0,0,0,2,1,0,0,0
"NM_015690",360,201,543,232,272,128,295,108,130,347,195,259
"NM_015692",2,2,8,0,3,0,0,3,5,3,0,2
"NM_015693",9,7,32,1,5,0,2,0,2,10,4,8
"NM_015694",195,168,460,169,144,97,199,114,142,272,109,197
"NM_015695",344,183,711,230,145,130,307,99,140,532,188,263
"NM_015696",23,19,40,50,84,7,163,230,101,40,76,57
"NM_015697",87,75,102,32,71,6,59,36,11,67,56,22
"NM_015700",194,277,456,180,245,63,199,190,93,314,399,183
"NM_015701",644,562,1321,481,652,149,812,435,316,958,790,543
"NM_015702",1503,2127,3041,1346,2453,281,1424,1501,501,2033,2910,1277
"NM_015703",743,2263,1630,549,1778,333,552,1231,321,829,1879,782
"NM_015704",1132,1324,2371,534,936,302,871,433,395,1163,969,766
"NM_015710",3323,8091,8007,2581,6271,1443,2963,5221,1745,4330,7470,2582
"NM_015711",220,40,437,138,36,98,144,19,82,231,34,185
"NM_015713",835,935,2359,1170,1099,110,1211,621,549,1471,1578,1160
"NM_015715",0,0,0,0,0,2,0,0,0,0,0,0
"NM_015717",0,0,0,0,0,0,0,0,0,0,0,1
"NM_015718",0,0,0,0,0,0,0,1,0,0,0,1
"NM_015719",4,3,20,9,7,2,10,2,5,38,17,21
"NM_015720",21,58,45,41,142,20,96,203,37,55,154,41
"NM_015721",596,850,1277,521,845,282,566,594,290,655,818,531
"NM_015725",0,0,1,0,0,0,0,0,0,0,0,0
"NM_015836",215,381,531,305,434,76,333,283,119,352,381,231
"NM_015837",0,0,0,0,0,0,0,0,0,0,0,0
"NM_015848",0,0,0,0,0,0,0,0,0,1,0,0
"NM_015849",1,1,0,0,0,0,0,0,0,0,0,0
"NM_015866",3120,1173,6780,3161,1290,1029,3520,754,1553,4128,1225,3190
"NM_015873",117,233,223,79,259,54,114,159,61,136,208,125
"NM_015879",0,0,0,0,0,0,2,0,1,0,0,0
"NM_015886",0,2,0,0,1,0,2,0,0,0,0,0
"NM_015888",152,147,386,186,135,17,46,10,1,233,236,287
"NM_015889",1286,658,2317,856,499,473,956,326,527,1587,477,1131
"NM_015891",842,605,2001,1022,824,182,1125,552,441,1085,772,847
"NM_015894",18,30,70,15,26,5,32,31,34,17,32,42
"NM_015897",184,379,459,143,369,88,191,251,104,251,342,203
"NM_015898",479,374,1432,356,295,298,450,272,300,623,285,619
"NM_015902",8231,8831,18072,9801,9527,2086,10167,5222,4370,12418,8509,7956
"NM_015904",1241,684,5513,2151,1049,392,1985,635,1188,1779,1114,2455
"NM_015906",1412,964,3898,2070,1362,317,2064,787,1012,2092,1222,1766
"NM_015907",2764,3073,4227,1658,3352,569,1909,1694,484,3673,4070,2091
"NM_015908",1330,1478,2003,869,1468,501,1201,687,401,1583,1090,942
"NM_015909",1983,2540,3743,1830,2573,571,2128,2002,895,2585,2625,1701
"NM_015910",198,263,511,257,212,50,264,201,123,231,226,228
"NM_015911",146,174,352,111,200,72,142,124,56,187,195,168
"NM_015913",460,433,1064,343,454,152,458,328,209,512,433,378
"NM_015917",587,1038,1166,403,1032,201,552,750,236,755,1293,590
"NM_015920",814,898,2178,752,896,282,835,571,428,1234,1271,970
"NM_015925",322,198,584,405,303,194,204,118,104,394,220,358
"NM_015932",1105,1635,2070,1091,2068,365,1101,825,304,1436,1960,893
"NM_015934",1418,1305,3498,1813,1822,508,2260,1217,1028,1808,1866,1749
"NM_015935",502,871,933,411,889,201,454,503,179,686,1036,433
"NM_015938",954,1507,3217,1270,1673,189,1362,1314,650,1340,1904,1247
"NM_015939",213,217,503,292,342,66,301,147,110,322,256,261
"NM_015942",256,192,551,327,191,73,298,135,131,345,242,264
"NM_015946",358,704,852,258,504,111,329,328,148,471,628,272
"NM_015949",378,653,861,290,519,146,378,387,173,440,612,329
"NM_015953",131,810,496,105,891,77,162,538,84,186,933,185
"NM_015956",458,691,920,308,553,212,372,406,191,634,605,473
"NM_015957",350,212,722,440,397,102,400,186,174,626,340,343
"NM_015960",268,400,724,272,220,56,333,207,174,367,305,237
"NM_015963",427,841,967,285,608,126,371,538,178,507,779,408
"NM_015965",616,3301,1791,484,2173,280,592,1492,276,830,3080,645
"NM_015969",183,234,308,125,234,45,181,112,60,228,289,165
"NM_015971",375,869,757,348,944,183,466,524,146,579,1040,405
"NM_015973",0,0,1,0,0,0,0,0,0,0,0,0
"NM_015974",120,254,395,110,225,71,127,156,88,230,281,208
"NM_015978",12,19,46,10,10,3,15,5,14,12,16,17
"NM_015979",908,725,1922,906,875,163,1023,593,537,1027,909,785
"NM_015980",3,0,8,0,0,0,0,0,0,0,0,1
"NM_015982",1,0,1,1,0,0,1,2,0,0,0,0
"NM_015983",152,165,366,138,145,66,104,69,64,214,110,136
"NM_015987",3,3,10,0,3,1,0,1,2,8,1,2
"NM_015993",6,5,19,2,13,2,20,6,6,20,16,5
"NM_015994",346,500,1110,358,547,120,352,362,154,437,649,403
"NM_015995",3532,3749,6061,2470,3249,1322,2434,1643,1163,4024,2801,2255
"NM_015997",238,308,607,205,311,110,241,197,147,304,223,257
"NM_015999",843,1037,1678,708,1068,354,888,732,402,1268,988,878
"NM_016001",738,797,1345,723,1004,235,823,575,292,1012,992,655
"NM_016002",382,690,862,457,984,143,720,606,234,526,830,480
"NM_016014",228,214,397,164,283,46,192,155,96,203,245,131
"NM_016019",1251,893,2995,1424,1093,380,1893,648,692,1631,1076,1328
"NM_016021",3481,2319,5849,3095,3075,749,4663,2530,1554,5645,3475,3125
"NM_016023",397,297,1239,628,434,87,632,238,264,592,536,525
"NM_016026",1120,950,2021,993,1072,364,1111,603,266,1623,1209,808
"NM_016027",131,104,325,125,141,21,142,112,89,196,202,182
"NM_016028",264,173,759,322,263,100,352,131,218,344,221,338
"NM_016034",439,440,886,340,392,179,359,289,194,590,390,348
"NM_016035",186,390,329,177,405,86,191,233,95,272,401,221
"NM_016037",327,302,774,323,384,145,452,258,147,506,344,325
"NM_016038",354,436,1005,375,478,130,417,336,216,464,535,374
"NM_016039",1306,1785,2877,1422,2037,487,1728,1182,548,1867,2369,1289
"NM_016044",413,827,883,404,734,201,387,498,182,683,865,528
"NM_016047",565,545,1166,536,619,140,587,372,221,759,763,541
"NM_016048",284,236,537,230,280,106,332,170,56,453,271,260
"NM_016052",255,232,537,289,281,55,419,158,144,355,256,310
"NM_016056",523,284,1046,385,369,103,466,230,183,535,382,356
"NM_016058",123,99,349,95,105,41,202,91,64,143,107,177
"NM_016059",349,445,520,239,434,120,354,259,121,601,572,285
"NM_016060",155,131,269,101,159,40,115,99,64,162,131,99
"NM_016063",353,372,561,266,377,117,379,275,133,420,485,331
"NM_016065",1074,1660,2085,1011,1812,441,1092,1102,462,1695,1885,1060
"NM_016066",68,34,107,55,68,22,108,29,22,82,63,59
"NM_016067",348,487,692,230,496,79,367,286,107,366,553,309
"NM_016068",294,1204,684,201,1036,144,235,510,133,433,950,241
"NM_016070",462,780,818,393,738,171,444,462,151,670,913,458
"NM_016072",612,514,1815,734,654,141,766,523,441,912,681,781
"NM_016073",199,161,464,765,707,92,637,321,281,1098,875,609
"NM_016075",794,489,1731,785,674,155,1005,478,585,849,549,688
"NM_016077",196,215,361,136,209,43,184,138,58,238,215,154
"NM_016080",664,856,1217,496,813,219,748,560,307,740,1000,560
"NM_016086",374,523,692,207,348,98,186,229,105,329,343,237
"NM_016087",2,1,0,1,0,0,0,0,0,8,3,0
"NM_016089",1078,779,2598,642,648,323,799,360,494,565,446,621
"NM_016090",354,231,1178,347,304,72,472,302,238,560,333,427
"NM_016094",308,218,698,339,309,95,338,170,146,443,339,362
"NM_016095",365,676,454,242,638,107,460,402,119,457,713,385
"NM_016096",787,310,1627,917,295,284,1092,180,385,1143,344,744
"NM_016097",331,339,750,294,332,80,452,216,157,518,373,342
"NM_016100",484,293,957,405,409,141,486,191,134,646,389,417
"NM_016101",476,373,854,469,512,160,444,291,153,695,576,376
"NM_016106",932,802,2416,1082,932,177,1197,666,493,1268,1138,1047
"NM_016107",1669,1343,3672,1893,1841,470,2141,1202,972,2326,2068,1937
"NM_016111",268,324,579,236,333,85,205,213,109,379,308,369
"NM_016112",0,0,3,1,0,0,0,0,0,0,0,0
"NM_016113",1154,2077,2263,1021,2583,497,738,975,418,1428,2537,1211
"NM_016116",0,0,0,1,0,0,0,0,0,0,0,0
"NM_016118",639,698,1413,768,1129,307,760,471,313,908,849,634
"NM_016121",246,211,548,431,431,68,332,188,122,249,204,194
"NM_016125",91,78,234,118,148,35,114,67,46,115,79,118
"NM_016127",925,1009,1866,737,1072,222,1344,878,461,1255,1091,810
"NM_016128",2575,4315,5001,1482,3135,857,2534,2171,1099,3351,3346,1756
"NM_016131",1577,1058,3295,1597,1535,473,1702,875,703,2266,1502,1701
"NM_016133",1087,856,2652,1001,781,156,1715,781,510,1568,820,954
"NM_016134",1,1,2,2,2,0,0,0,0,0,1,0
"NM_016138",130,156,237,87,144,49,82,68,55,148,146,121
