SRR4098430	SRR4098431	SRR4098432	SRR4098433
TAS1R1	3	0	0	2
ZBTB48	757	517	785	581
KLHL21	3485	2528	2408	1369
PHF13	828	708	573	451
THAP3	2986	2381	2406	1774
DNAJC11	6073	4405	3920	3209
LOC100505887	0	0	0	0
CAMTA1	583	531	479	411
VAMP3	1540	1186	967	1006
PER3	58	77	107	84
UTS2	7	13	15	4
TNFRSF9	3	0	2	0
PARK7	9250	5807	5844	4674
ERRFI1	15582	13417	10550	11281
LOC102724539	2	0	2	1
SLC45A1	116	169	239	257
RERE	1417	1169	1367	1015
LOC102724552	1	0	8	3
ENO1	103855	74514	78598	60836
MIR6728	1	7	6	3
ENO1-AS1	9	16	14	6
CA6	0	0	0	0
SLC2A7	0	2	0	0
SLC2A5	3	0	3	1
GPR157	44	41	61	47
MIR34A	2	0	19	18
H6PD	397	426	871	862
SPSB1	432	260	243	218
LOC100506022	20	6	9	4
SLC25A33	945	641	587	406
TMEM201	2453	1748	1427	880
PIK3CD	248	370	507	457
PIK3CD-AS1	0	0	1	0
PIK3CD-AS2	177	140	224	181
CLSTN1	6152	4938	5193	4093
CTNNBIP1	358	410	652	529
LZIC	613	413	302	328
NMNAT1	284	264	361	337
MIR5697	0	0	0	0
RBP7	1304	877	878	961
UBE4B	2226	1683	1888	1486
KIF1B	2163	1665	1791	1643
MIR1273D	0	0	0	0
RNU6-1	1	0	0	0
RNU6-2	6	14	10	5
RNU6-7	15	10	12	12
RNU6-9	6	14	10	5
RNU6-8	15	10	12	12
PGD	4675	3441	3392	3210
APITD1-CORT	764	587	369	281
APITD1	823	622	393	322
CORT	33	24	27	26
DFFA	2783	2051	1998	2015
PEX14	1150	760	929	653
CASZ1	276	212	544	478
C1orf127	2	0	0	0
TARDBP	5404	4282	4582	3722
MASP2	94	43	13	25
SRM	6618	3999	4030	2937
EXOSC10	4637	3382	2603	2068
MTOR	4449	2991	2994	2251
MTOR-AS1	24	14	14	4
ANGPTL7	5	0	0	0
UBIAD1	1085	685	803	559
PTCHD2	19	46	36	42
LOC101929181	1	0	0	0
FBXO2	1359	1086	1736	1401
FBXO44	1248	1108	2523	2454
FBXO6	735	667	659	512
MAD2L2	2486	1814	1280	1122
DRAXIN	15	8	106	72
AGTRAP	854	792	1045	767
C1orf167	12	13	14	12
LOC102724659	0	0	0	0
MTHFR	310	255	529	346
CLCN6	473	345	676	506
NPPA-AS1	100	65	131	95
NPPA	15	17	21	23
NPPB	0	0	0	0
RNU5E-1	0	1	0	0
KIAA2013	2632	2059	1823	1224
PLOD1	6887	6220	5404	4302
MFN2	6195	4121	4440	3316
MIIP	1187	836	763	669
MIR6729	0	0	0	0
TNFRSF8	2	9	4	4
MIR7846	0	0	0	0
TNFRSF1B	1	3	7	1
MIR4632	0	0	0	0
VPS13D	1678	1325	2114	2161
SNORA59A	3	0	0	0
SNORA59B	3	0	0	0
DHRS3	1608	1266	1555	1357
MIR6730	0	0	1	3
AADACL4	0	0	0	0
AADACL3	0	0	0	0
C1orf158	0	0	0	0
PRAMEF12	0	0	0	0
PRAMEF1	0	0	0	0
PRAMEF11	0	0	0	0
HNRNPCL1	12	7	8	2
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
PRAMEF6	0	0	0	0
LOC101929983	0	0	0	0
HNRNPCL3	2	2	1	1
HNRNPCL4	2	2	1	1
PRAMEF25	0	0	0	0
PRAMEF26	0	0	0	0
LOC649324	0	0	0	0
LOC645354	0	0	0	0
HNRNPCL2	0	1	0	2
PRAMEF9	0	0	0	0
LOC400736	0	0	0	0
LOC391003	0	0	0	0
PRAMEF22	0	0	0	0
PRAMEF5	0	0	0	0
PRAMEF8	0	0	0	0
LOC645382	0	0	0	0
PRAMEF15	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF19	0	0	0	0
PRAMEF16	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	0	0	0	0
LRRC38	0	0	5	0
PDPN	0	0	0	0
PRDM2	592	457	458	302
KAZN	566	561	744	563
TMEM51-AS1	64	52	56	74
TMEM51	659	486	329	267
C1orf195	0	0	0	0
FHAD1	240	183	134	197
EFHD2	5748	3206	2918	2027
CTRC	3	1	1	3
CELA2A	0	0	0	0
CELA2B	5	0	0	0
CASP9	288	299	294	274
DNAJC16	740	457	808	776
AGMAT	2	2	8	1
DDI2	729	506	551	504
RSC1A1	566	390	391	369
PLEKHM2	2657	1892	2646	1738
SLC25A34	23	10	12	15
TMEM82	0	0	0	0
FBLIM1	21	8	53	22
UQCRHL	504	390	330	297
FLJ37453	38	19	41	26
SPEN	9050	6372	6686	4887
MIR5096	0	1	0	0
ZBTB17	972	761	966	797
C1orf64	0	0	0	0
HSPB7	1	0	1	1
CLCNKA	1	0	1	0
CLCNKB	8	8	4	10
FAM131C	72	105	110	96
EPHA2	8261	6565	13110	9792
ARHGEF19	3323	2486	3031	2468
RSG1	137	77	189	143
FBXO42	933	728	869	602
SZRD1	9161	6258	6937	5431
SPATA21	0	0	3	0
NECAP2	1182	825	995	844
CROCCP3	73	79	150	217
RNU1-1	2	0	2	1
RNU1-2	2	0	2	1
RNU1-3	2	0	2	1
RNU1-28P	2	0	2	1
RNVU1-18	2	0	2	1
RNU1-27P	2	0	2	1
RNU1-4	2	0	2	1
FAM231B	0	1	0	0
MIR3675	0	0	0	3
NBPF1	350	274	392	304
CROCCP2	581	459	943	636
MST1P2	104	56	169	173
FAM231A	0	0	0	0
FAM231C	0	0	0	0
ESPNP	17	8	13	16
MST1L	36	29	84	85
CROCC	879	748	1064	856
MFAP2	453	505	367	363
ATP13A2	1891	1737	2098	1557
SDHB	4847	4242	3816	3434
PADI2	7	15	18	13
PADI1	3	1	0	0
PADI3	5	2	20	38
MIR3972	0	0	0	0
PADI4	0	1	9	1
PADI6	0	0	0	0
RCC2	6180	4756	4895	3599
ARHGEF10L	509	471	553	462
ACTL8	31	25	7	5
LOC101927876	0	0	0	0
IGSF21	0	0	0	0
KLHDC7A	20	3	143	143
PAX7	0	0	0	0
TAS1R2	1	0	0	0
ALDH4A1	687	505	814	588
MIR4695	0	0	0	0
MIR1290	0	0	0	0
IFFO2	2313	1391	2223	1553
UBR4	8928	6672	7065	5988
EMC1	4881	4077	3888	3307
MRTO4	9219	6043	4205	3326
AKR7L	47	26	32	8
AKR7A3	26	20	21	30
LOC100506730	40	56	26	25
AKR7A2	1934	1413	1556	1155
PQLC2	457	355	437	275
CAPZB	5199	3735	2899	2521
MINOS1-NBL1	4955	3457	2715	1927
MINOS1	1342	1111	941	896
RPS14P3	316	275	162	191
NBL1	4849	3345	2602	1836
HTR6	25	19	16	8
TMCO4	380	361	395	303
RNF186	0	0	0	0
OTUD3	752	609	565	469
PLA2G2E	0	0	0	0
PLA2G2A	0	0	0	0
PLA2G5	0	0	0	0
PLA2G2D	0	0	0	0
PLA2G2F	0	0	0	0
PLA2G2C	0	0	0	0
UBXN10-AS1	0	0	0	0
UBXN10	0	0	0	0
VWA5B1	0	0	0	0
LINC01141	0	0	0	1
CAMK2N1	650	365	302	226
MUL1	2070	1356	1483	975
FAM43B	0	0	0	0
CDA	179	133	160	121
PINK1	572	476	797	596
MIR6084	2	1	3	1
PINK1-AS	2676	1880	2633	1702
DDOST	21912	16486	21330	16213
KIF17	40	31	62	60
SH2D5	1031	646	999	870
HP1BP3	5214	4010	3194	3319
EIF4G3	3042	2070	2311	2239
MIR1256	0	0	0	0
ECE1	4385	3400	4258	3153
LOC100506801	2	1	1	5
NBPF3	307	238	319	239
ALPL	10	3	5	6
RAP1GAP	688	787	651	502
USP48	2203	1744	1650	1641
LDLRAD2	72	87	317	356
HSPG2	505	632	2168	2232
CELA3B	0	1	0	0
CELA3A	0	2	0	2
LOC101928043	19	2	7	7
LINC00339	206	142	116	162
CDC42	5266	3435	3438	3232
WNT4	4	21	25	4
MIR4418	0	0	0	0
ZBTB40	2068	1561	1794	1429
EPHA8	3	5	3	5
MIR6127	0	0	0	0
C1QA	0	0	0	0
C1QC	0	0	0	0
C1QB	0	0	0	0
EPHB2	415	532	701	673
MIR4684	0	0	0	0
MIR4253	0	0	0	0
LACTBL1	1	0	0	0
C1orf234	1	0	0	1
KDM1A	6608	5186	3526	3172
MIR3115	0	0	0	0
MIR4419A	0	0	0	0
LUZP1	2187	1575	1573	1201
HTR1D	57	51	77	72
LINC01355	43	20	17	27
HNRNPR	9026	6561	5364	4480
ZNF436	300	192	396	359
ZNF436-AS1	91	63	135	107
TCEA3	43	53	73	95
ASAP3	364	429	499	381
E2F2	1364	1184	290	154
LOC101928163	6	3	1	0
ID3	1208	1615	1613	1663
MDS2	0	0	0	0
RPL11	33371	24708	23418	21411
TCEB3	3689	2453	1920	1511
TCEB3-AS1	185	130	129	90
PITHD1	1849	1425	1060	778
LYPLA2	1600	1094	2005	1370
GALE	3170	2340	3803	3280
HMGCL	332	266	414	450
FUCA1	472	408	996	986
CNR2	0	1	1	0
MIR378F	0	0	0	0
PNRC2	1238	969	955	808
SRSF10	3731	2693	1570	1410
MYOM3	122	173	284	333
IL22RA1	90	88	46	69
IFNLR1	297	312	309	212
LOC284632	1	1	0	0
GRHL3	13	2	108	154
STPG1	213	146	178	166
NIPAL3	201	173	496	435
RCAN3AS	1	1	1	4
RCAN3	158	189	163	165
LOC100506985	8	17	12	19
NCMAP	0	11	7	12
SRRM1	2228	1631	1594	1097
CLIC4	522	484	291	445
RUNX3	1218	894	809	648
MIR6731	0	0	1	0
MIR4425	0	0	0	0
SYF2	1578	1109	1322	1319
RSRP1	779	703	1391	1094
RHD	2	2	7	9
TMEM50A	1182	1148	1296	1180
RHCE	9	6	26	17
TMEM57	447	441	437	415
LDLRAP1	1033	827	985	696
MAN1C1	17	41	35	22
SEPN1	3336	2897	3532	2462
MTFR1L	940	714	1002	958
LOC646471	86	86	294	157
AUNIP	653	467	185	142
PAQR7	453	363	589	430
STMN1	10189	7712	5621	5009
MIR3917	4	2	2	0
PAFAH2	432	295	354	336
EXTL1	4	1	1	0
SLC30A2	0	0	0	0
TRIM63	0	0	0	2
PDIK1L	306	190	164	148
FAM110D	2	5	7	7
ZNF593	1818	1006	1455	945
CNKSR1	700	592	884	689
CATSPER4	0	1	0	0
LOC101928303	1	0	0	0
CEP85	1885	1421	1153	885
SH3BGRL3	5546	3527	4148	3639
UBXN11	868	346	493	384
CD52	2	3	1	0
AIM1L	126	108	190	190
ZNF683	0	0	0	0
LIN28A	5	4	4	7
DHDDS	1323	988	1392	973
LOC101928324	5	2	2	0
HMGN2	6438	3442	3801	2793
RPS6KA1	2378	2130	3238	2604
MIR1976	0	0	0	0
ARID1A	3177	2385	2273	1589
PIGV	356	240	238	220
ZDHHC18	1406	1036	1147	689
SFN	7653	4567	18582	15270
GPN2	973	595	899	706
GPATCH3	662	454	521	413
NR0B2	2	0	0	2
NUDC	10285	8248	5125	4272
KDF1	793	600	619	448
TRNP1	595	490	711	577
FAM46B	376	375	252	172
SLC9A1	777	592	822	557
WDTC1	714	657	846	776
TMEM222	1135	1012	1175	639
ACTG1P20	532	365	259	201
RNU6-48P	1	1	1	1
SYTL1	305	263	1472	1253
MAP3K6	651	533	760	516
FCN3	2	0	5	3
CD164L2	55	52	177	163
GPR3	209	163	223	116
WASF2	3160	2522	2854	2519
AHDC1	1051	848	1340	914
FGR	0	1	1	0
IFI6	106	69	72	82
FAM76A	168	149	117	131
STX12	678	480	614	584
PPP1R8	2430	1706	1248	1175
SCARNA1	7	12	3	0
THEMIS2	226	193	208	202
RPA2	4250	3154	1868	1523
SMPDL3B	507	410	762	620
XKR8	336	252	378	222
EYA3	854	545	742	690
PTAFR	47	61	481	362
DNAJC8	3712	3145	2070	1838
ATPIF1	2407	1904	2780	2080
SESN2	399	352	1501	1110
MED18	568	345	489	388
PHACTR4	1161	777	1062	912
SNHG3	3292	2733	2025	1511
RCC1	11625	7364	6606	4785
SNORA73A	203	156	163	125
SNORA73B	85	62	67	62
TRNAU1AP	945	695	1078	723
SNHG12	2329	1771	1687	1153
SNORD99	50	41	20	33
SNORA61	204	178	95	129
SNORA44	161	160	106	92
SNORA16A	101	75	68	32
RAB42	2	2	4	0
TAF12	966	695	722	626
RNU11	8	4	6	4
GMEB1	468	340	329	195
YTHDF2	3557	2580	2128	1673
OPRD1	0	0	0	0
EPB41	1619	1301	1425	1302
TMEM200B	598	513	336	290
SRSF4	2336	2185	1423	1159
MECR	1004	884	1096	893
PTPRU	2312	1869	4170	3145
LOC101928460	2	0	1	1
LOC101929406	0	0	0	0
MATN1	12	15	16	21
MATN1-AS1	18	16	51	55
LAPTM5	5	1	3	2
MIR4420	0	0	0	0
SDC3	906	914	1235	1054
PUM1	3995	2738	3083	2480
SNORD103A	1	0	1	1
SNORD103B	1	0	1	1
SNORD85	0	0	0	0
NKAIN1	85	68	67	49
SNRNP40	4041	3042	2069	1873
ZCCHC17	1243	1050	813	766
FABP3	9	9	8	33
SERINC2	701	654	1016	613
LINC01225	0	0	0	0
LINC01226	0	0	1	0
TINAGL1	1715	1140	3053	2289
HCRTR1	3	0	2	0
PEF1	2472	1772	1646	1302
COL16A1	48	39	57	61
ADGRB2	307	308	218	190
MIR4254	0	0	0	1
SPOCD1	29	47	47	66
PTP4A2	4005	2909	2092	1887
KHDRBS1	5821	5649	5547	4715
TMEM39B	713	631	528	311
MIR5585	0	0	0	0
KPNA6	2377	1648	2220	1951
TXLNA	2644	1900	2070	1583
CCDC28B	75	89	49	69
IQCC	733	488	256	231
DCDC2B	17	12	22	17
TMEM234	162	116	143	118
EIF3I	16684	11471	12359	9432
MTMR9LP	49	26	129	100
FAM167B	4	2	7	7
LCK	7	23	5	2
HDAC1	11399	9209	8930	7836
MARCKSL1	2607	2368	1834	1338
FAM229A	28	25	49	49
TSSK3	187	161	368	285
BSDC1	1670	1356	2373	2039
ZBTB8B	27	18	10	11
ZBTB8A	257	283	265	218
ZBTB8OS	511	408	333	351
RBBP4	4802	3842	2702	2628
SYNC	481	350	259	372
KIAA1522	2306	1867	2418	1759
YARS	6210	5849	4723	4529
S100PBP	599	488	399	404
FNDC5	5	1	5	4
HPCA	5	0	9	8
TMEM54	966	612	721	493
RNF19B	733	482	1422	1035
AK2	6237	5045	4450	3920
AZIN2	39	51	99	72
TRIM62	295	277	389	336
ZNF362	99	129	122	110
A3GALT2	3	2	1	1
PHC2	4849	3471	4464	3743
MIR3605	0	2	0	0
LOC101929464	8	2	2	8
ZSCAN20	191	131	300	209
CSMD2	2	2	4	0
HMGB4	0	0	0	0
CSMD2-AS1	0	0	0	0
C1orf94	0	0	0	0
MIR552	0	0	0	0
GJB5	197	132	751	485
GJB4	15	9	39	40
GJB3	1113	708	1531	1161
GJA4	0	0	0	0
SMIM12	1380	825	966	791
DLGAP3	6	1	2	8
LOC653160	16	22	22	27
ZMYM6NB	335	217	321	274
ZMYM6	422	393	383	331
ZMYM1	451	319	253	261
SFPQ	9230	6638	4404	3600
ZMYM4	1504	1072	1179	1018
KIAA0319L	1755	1282	1705	1568
NCDN	1655	1064	1681	1118
TFAP2E	187	123	189	99
PSMB2	7955	5285	5136	4446
C1orf216	658	499	670	502
CLSPN	1520	1135	268	173
AGO4	127	153	159	179
AGO1	1254	945	1227	1158
AGO3	395	260	247	229
TEKT2	5	1	4	3
ADPRHL2	1151	694	784	514
COL8A2	1	0	1	0
TRAPPC3	2402	1734	1634	1225
MAP7D1	2695	2422	2166	1741
THRAP3	10024	7355	5977	4960
SH3D21	182	153	177	211
EVA1B	279	314	360	257
STK40	913	878	1115	771
LSM10	1591	1094	1165	808
OSCP1	158	65	137	96
MRPS15	4904	3426	2873	2378
CSF3R	0	0	0	0
GRIK3	0	0	0	0
MIR4255	0	0	0	0
LINC01137	20	20	26	33
ZC3H12A	301	282	236	189
MIR6732	0	1	0	4
MEAF6	815	544	548	505
MIR5581	2	0	0	0
SNIP1	649	504	437	391
DNALI1	3	1	4	0
GNL2	4601	3133	2390	2139
RSPO1	5	2	1	0
C1orf109	1893	1193	1286	897
CDCA8	5397	2845	1320	788
EPHA10	304	257	341	324
MANEAL	1213	823	711	474
YRDC	3821	2431	2200	1558
C1orf122	910	570	803	520
MTF1	693	519	743	593
INPP5B	467	396	515	336
SF3A3	4957	3521	3416	3071
FHL3	651	449	749	551
UTP11L	4079	2406	1938	1456
POU3F1	3	3	7	1
MIR3659	0	0	0	0
LINC01343	1	0	1	1
RRAGC	464	432	525	329
MYCBP	1458	915	822	644
GJA9-MYCBP	1440	894	791	630
GJA9	0	2	2	3
RHBDL2	0	0	0	0
AKIRIN1	1965	1437	1450	1101
NDUFS5	5717	4101	4862	4211
MACF1	4796	3886	3455	3257
KIAA0754	616	535	439	377
BMP8A	163	166	230	218
PPIEL	97	70	131	107
PABPC4	9806	7078	6011	4494
LOC101929516	394	312	223	171
SNORA55	24	32	12	26
HEYL	374	324	549	400
NT5C1A	0	0	0	0
HPCAL4	152	239	141	152
PPIE	4206	3097	2623	2149
BMP8B	182	219	230	177
OXCT2	16	13	27	23
TRIT1	1205	844	676	602
MYCL	241	142	165	171
MFSD2A	490	378	326	175
CAP1	8712	6518	5548	4729
PPT1	2759	2325	1677	1447
RLF	1107	688	593	541
TMCO2	1	0	0	0
ZMPSTE24	2632	1757	1723	1381
COL9A2	47	42	69	60
SMAP2	674	492	684	569
ZFP69B	14	5	21	9
ZFP69	0	0	1	0
EXO5	0	0	0	0
ZNF684	81	58	51	37
RIMS3	225	267	466	379
NFYC-AS1	129	132	114	98
NFYC	1516	1120	1277	995
MIR30E	1	0	0	0
MIR30C1	2	3	4	1
KCNQ4	391	293	365	261
CITED4	14	13	29	33
CTPS1	6065	4200	3480	2831
SLFNL1-AS1	97	87	101	114
SLFNL1	51	33	55	39
SCMH1	884	780	541	539
FOXO6	61	62	66	65
EDN2	3	2	8	2
HIVEP3	321	340	249	220
GUCA2B	0	0	0	1
GUCA2A	0	0	0	0
FOXJ3	1374	992	1057	949
RIMKLA	269	254	174	187
ZMYND12	0	1	6	3
PPCS	646	466	600	501
CCDC30	2	2	4	9
PPIH	1677	1351	997	785
YBX1	24910	16183	20140	18006
CLDN19	0	4	2	11
P3H1	1019	886	1019	760
C1orf50	208	127	175	115
LOC100129924	5	8	5	0
SVBP	228	174	129	143
ERMAP	127	56	117	83
ZNF691	318	213	327	308
LOC339539	7	1	1	9
SLC2A1	4962	2608	7966	5009
SLC2A1-AS1	7	6	23	11
FAM183A	1	1	1	17
EBNA1BP2	13138	8507	7240	5780
MIR6733	6	0	1	7
CFAP57	19	29	17	24
TMEM125	139	84	126	144
C1orf210	81	90	161	157
TIE1	0	1	3	0
MPL	2	10	9	7
CDC20	11850	8685	3977	2053
ELOVL1	4092	2294	3277	2442
MIR6734	1	5	3	1
MED8	2107	1362	1278	1074
SZT2	1836	1519	2186	1754
MIR6735	1	0	1	1
HYI	415	331	431	231
PTPRF	13655	10495	11296	8238
KDM4A	1721	1153	2029	2053
KDM4A-AS1	101	89	93	88
ST3GAL3	33	36	57	53
LOC101929592	0	0	0	0
MIR6079	0	0	0	0
ARTN	415	263	303	224
IPO13	907	637	891	693
DPH2	3138	2123	2199	1950
ATP6V0B	5602	3035	3764	2480
B4GALT2	3363	2403	2937	2128
CCDC24	158	190	284	235
SLC6A9	152	143	123	141
KLF17	0	1	0	0
DMAP1	972	655	890	707
ERI3	1969	1337	1681	1322
ERI3-IT1	14	14	21	19
RNF220	2803	2208	1858	1468
MIR5584	0	0	0	0
TMEM53	55	73	70	69
C1orf228	2	3	3	9
RNU5F-1	0	1	0	0
RNU5D-1	0	0	0	0
KIF2C	6786	4957	1791	1100
RPS8	56996	34506	48529	35633
SNORD55	76	36	80	26
SNORD46	46	38	22	13
SNORD38A	30	27	22	13
SNORD38B	22	11	22	16
BEST4	6	7	11	8
PLK3	1138	955	4037	3157
TCTEX1D4	22	35	182	203
BTBD19	18	4	101	128
PTCH2	56	32	57	41
EIF2B3	1021	725	542	516
HECTD3	1402	1070	1160	886
UROD	1793	1312	1536	1374
ZSWIM5	79	52	69	60
LINC01144	1	6	8	4
HPDL	2	12	13	3
MUTYH	958	621	587	498
TOE1	1510	1149	569	342
TESK2	60	92	106	73
CCDC163P	65	45	45	35
MMACHC	406	319	369	304
PRDX1	19610	14444	17056	14926
AKR1A1	2943	2459	2573	1874
NASP	7457	5217	2782	2191
CCDC17	28	9	25	34
GPBP1L1	2182	1592	2053	2022
RPS15AP10	6	2	9	5
TMEM69	1184	797	978	715
IPP	254	228	257	296
MAST2	3692	2675	2438	2138
PIK3R3	21	27	47	27
LOC101929626	0	0	2	0
TSPAN1	82	42	155	128
POMGNT1	3788	2776	4708	4019
LURAP1	8	0	6	4
RAD54L	1481	974	635	415
LRRC41	1157	821	1640	1363
UQCRH	5140	3656	3360	2873
NSUN4	1450	895	899	695
FAAH	314	276	352	217
FAAHP1	13	11	13	23
LINC01398	1	2	0	5
DMBX1	122	148	89	67
MKNK1-AS1	35	27	46	23
KNCN	0	0	0	0
MKNK1	902	624	768	632
MOB3C	127	137	255	250
ATPAF1	1125	851	798	680
TEX38	0	0	0	0
EFCAB14-AS1	7	2	5	4
EFCAB14	2006	1303	1535	1490
CYP4B1	0	0	0	0
CYP4Z2P	0	0	0	0
CYP4A11	1	0	0	0
CYP4X1	3	0	1	0
CYP4Z1	2	0	0	0
CYP4A22	0	1	0	0
LINC00853	13	7	8	16
PDZK1IP1	0	0	0	0
TAL1	1	0	0	0
STIL	1576	1121	389	243
CMPK1	1803	1356	1075	1133
LINC01389	6	1	6	8
FOXE3	4	2	11	1
FOXD2-AS1	119	79	102	56
FOXD2	83	118	54	49
TRABD2B	2	7	8	5
SKINTL	0	0	2	0
SLC5A9	4	0	6	3
SPATA6	70	62	73	62
AGBL4	0	0	0	0
BEND5	0	0	0	0
LOC101929721	0	0	0	0
AGBL4-IT1	0	0	0	0
ELAVL4	0	0	0	0
DMRTA2	0	0	0	0
FAF1	2764	1848	1312	1202
CDKN2C	329	265	112	68
MIR4421	0	0	0	0
MIR6500	0	0	0	0
C1orf185	0	0	0	0
RNF11	1113	864	931	786
TTC39A	293	359	435	393
TTC39A-AS1	1	10	3	4
EPS15	728	565	587	640
OSBPL9	1225	1039	980	943
NRD1	6590	4925	4863	4890
MIR761	0	0	0	0
RAB3B	1842	1412	1493	1497
TXNDC12	3665	2607	2197	1537
KTI12	732	492	482	289
TXNDC12-AS1	0	0	1	0
BTF3L4	832	631	661	426
ZFYVE9	569	545	514	462
CC2D1B	1255	881	1415	1051
ORC1	2145	1626	497	301
PRPF38A	1738	1617	1256	1104
ZCCHC11	977	948	807	880
GPX7	0	0	0	7
FAM159A	0	0	0	0
COA7	2002	1471	1091	726
ZYG11B	415	392	462	466
ZYG11A	0	2	0	0
ECHDC2	282	278	364	271
SCP2	906	734	695	743
MIR1273F	0	0	0	0
MIR5095	0	0	0	0
MIR1273G	0	0	0	0
PODN	0	0	0	0
SLC1A7	0	0	0	0
CPT2	578	422	630	520
C1orf123	975	690	773	631
MAGOH	2620	1556	1263	1107
LOC100507564	21	30	34	18
LRP8	2894	2402	2945	2433
LOC105378732	5	1	4	9
SLC25A3P1	2	0	1	0
DMRTB1	0	0	0	0
GLIS1	0	3	11	5
NDC1	3276	2266	1391	1093
YIPF1	492	347	518	436
DIO1	3	0	1	2
