GeneID	Chr	Start	End	Strand	Length
51	MIR429	chr1	1169004	1169087	+	84
52	TTLL10-AS1	chr1	1173054	1179648	-	6595
53	TTLL10	chr1	1178905	1188898	+	9994
54	TNFRSF18	chr1	1203507	1207901	-	4395
55	TNFRSF4	chr1	1211325	1216812	-	5488
56	SDF4	chr1	1216907	1232067	-	15161
57	B3GALT6	chr1	1232236	1235041	+	2806
58	C1QTNF12	chr1	1242447	1247218	-	4772
59	UBE2J2	chr1	1253911	1273854	-	19944
60	LINC01786	chr1	1274001	1279447	+	5447
61	SCNN1D	chr1	1280435	1292029	+	11595
62	ACAP3	chr1	1292383	1298113	-	5731
63	MIR6726	chr1	1296109	1296170	-	62
64	SNORD167	chr1	1304728	1304812	-	85
65	PUSL1	chr1	1308564	1311677	+	3114
66	INTS11	chr1	1311584	1324687	-	13104
67	MIR6727	chr1	1312501	1312566	-	66
68	CPTP	chr1	1324756	1328896	+	4141
69	TAS1R3	chr1	1331279	1335314	+	4036
70	DVL1	chr1	1335277	1349418	-	14142
71	MIR6808	chr1	1339649	1339708	-	60
72	MXRA8	chr1	1352690	1361799	-	9110
73	AURKAIP1	chr1	1373729	1375516	-	1788
74	CCNL2	chr1	1390341	1399336	-	8996
75	MRPL20-AS1	chr1	1399529	1402046	+	2518
76	MRPL20	chr1	1401908	1407293	-	5386
77	LOC107984868	chr1	1412294	1416247	-	3954
78	ANKRD65	chr1	1418419	1422471	-	4053
79	LOC105378585	chr1	1420244	1423287	+	3044
80	TMEM88B	chr1	1426127	1427787	+	1661
81	LINC01770	chr1	1430156	1434573	-	4418
82	LOC107985729	chr1	1433232	1435626	+	2395
83	VWA1	chr1	1435689	1442882	+	7194
84	ATAD3C	chr1	1449688	1470163	+	20476
85	ATAD3B	chr1	1471731	1509466	+	37736
86	ATAD3A	chr1	1512142	1534686	+	22545
87	TMEM240	chr1	1534777	1540624	-	5848
88	SSU72	chr1	1541672	1574863	-	33192
89	FNDC10	chr1	1598011	1600135	-	2125
90	LOC105378586	chr1	1599432	1607210	+	7779
91	MIB2	chr1	1613729	1630605	+	16877
92	MMP23B	chr1	1631680	1635638	+	3959
93	CDK11B	chr1	1635225	1659619	-	24395
94	SLC35E2B	chr1	1668406	1676811	-	8406
95	MMP23A	chr1	1699938	1701808	+	1871
96	CDK11A	chr1	1702378	1724357	-	21980
97	SLC35E2A	chr1	1724837	1745999	-	21163
98	LOC112268218	chr1	1745724	1751773	+	6050
99	NADK	chr1	1751231	1758642	-	7412
100	GNB1	chr1	1785288	1832477	-	47190
101	LOC105378949	chr1	1891056	1892722	+	1667
102	CALML6	chr1	1913750	1917274	+	3525
103	TMEM52	chr1	1917590	1919279	-	1690
104	CFAP74	chr1	1921956	2003837	-	81882
105	LOC107984872	chr1	1955856	1958986	+	3131
106	LOC105378589	chr1	2013210	2018138	-	4929
107	GABRD	chr1	2021729	2030751	+	9023
108	LOC105378590	chr1	2034985	2047447	-	12463
109	LOC105378591	chr1	2049200	2050070	-	871
110	PRKCZ	chr1	2104715	2185399	+	80685
111	PRKCZ-AS1	chr1	2181793	2183875	-	2083
112	FAAP20	chr1	2189547	2199290	-	9744
113	LOC112268219	chr1	2189787	2192458	+	2672
114	LOC105378593	chr1	2207012	2208854	+	1843
115	SKI	chr1	2228318	2310213	+	81896
116	MORN1	chr1	2321252	2391554	-	70303
117	LOC100129534	chr1	2350413	2352661	-	2249
118	RER1	chr1	2391840	2405436	+	13597
119	PEX10	chr1	2404801	2412571	-	7771
120	PLCH2	chr1	2412480	2505530	+	93051
121	PANK4	chr1	2508536	2526622	-	18087
122	HES5	chr1	2528744	2530554	-	1811
123	TNFRSF14-AS1	chr1	2549919	2557011	-	7093
124	TNFRSF14	chr1	2556364	2565622	+	9259
125	LOC100996583	chr1	2566534	2584534	+	18001
126	PRXL2B	chr1	2586522	2591468	+	4947
127	MMEL1	chr1	2590638	2633042	-	42405
128	MMEL1-AS1	chr1	2633110	2636620	+	3511
129	TTC34	chr1	2641268	2800868	-	159601
130	LOC105378603	chr1	2700539	2702756	-	2218
131	LOC105378602	chr1	2701376	2702276	+	901
132	LOC105378601	chr1	2762487	2763387	+	901
133	LOC112268220	chr1	2763418	2767518	+	4101
134	LOC107985732	chr1	2764563	2765629	+	1067
135	LOC105378600	chr1	2766072	2766972	+	901
136	LOC105378598	chr1	2770671	2778767	+	8097
137	LOC107984904	chr1	2771825	2772891	+	1067
138	LOC105378599	chr1	2773494	2774394	+	901
139	ACTRT2	chr1	3021466	3022903	+	1438
140	PRDM16-DT	chr1	3059616	3067725	-	8110
141	PRDM16	chr1	3069202	3438621	+	369420
142	MIR4251	chr1	3127974	3128035	+	62
143	LOC105378606	chr1	3159008	3167597	-	8590
144	LOC107984909	chr1	3191944	3195519	+	3576
145	LOC105378605	chr1	3210739	3214473	-	3735
146	LOC105378604	chr1	3306635	3315160	-	8526
147	ARHGEF16	chr1	3454588	3481115	+	26528
148	MEGF6	chr1	3487960	3531423	-	43464
149	LOC105378608	chr1	3546964	3550776	+	3813
150	MIR551A	chr1	3560694	3560790	-	97
151	LOC105378607	chr1	3602894	3607681	+	4788
152	TPRG1L	chr1	3625014	3630127	+	5114
153	WRAP73	chr1	3630769	3650103	-	19335
154	TP73	chr1	3652515	3736201	+	83687
155	LOC105378610	chr1	3658429	3665413	-	6985
156	LOC105378609	chr1	3674873	3677639	-	2767
157	TP73-AS1	chr1	3735983	3747373	-	11391
158	CCDC27	chr1	3752397	3771645	+	19249
159	SMIM1	chr1	3772760	3775982	+	3223
160	LRRC47	chr1	3778558	3796498	-	17941
161	CEP104	chr1	3812085	3857211	-	45127
162	DFFB	chr1	3857286	3866324	+	9039
163	LOC107984910	chr1	3885494	3888787	-	3294
164	C1orf174	chr1	3889132	3897608	-	8477
165	LINC01134	chr1	3900403	3915447	+	15045
166	LINC01346	chr1	3940611	3952583	+	11973
167	LINC01345	chr1	3947148	3948980	-	1833
168	LINC02780	chr1	3995084	3998855	+	3772
169	LINC01777	chr1	4412050	4424684	+	12635
170	LOC105376674	chr1	4432145	4439709	+	7565
171	LINC01646	chr1	4571486	4583706	+	12221
172	LOC107985376	chr1	4603687	4617555	+	13869
173	AJAP1	chr1	4710620	4792123	+	81504
174	LINC02781	chr1	4973390	4981567	+	8178
175	LOC102724429	chr1	4997368	5004349	+	6982
176	LINC02782	chr1	5090579	5098548	-	7970
177	LOC105376682	chr1	5131855	5135311	+	3457
178	LOC107984911	chr1	5470328	5481317	-	10990
179	LOC105376686	chr1	5490841	5494668	-	3828
180	MIR4689	chr1	5862671	5862741	-	71
181	NPHP4	chr1	5862809	5961908	-	99100
182	KCNAB2	chr1	6025893	6101186	+	75294
183	CHD5	chr1	6101786	6180321	-	78536
184	LOC105376687	chr1	6131762	6132692	+	931
185	RPL22	chr1	6185019	6199595	-	14577
186	LOC107985733	chr1	6200491	6209339	-	8849
187	LOC102724450	chr1	6204839	6205780	-	942
188	RNF207	chr1	6206003	6215714	+	9712
189	ICMT	chr1	6221192	6235964	-	14773
190	LINC00337	chr1	6236239	6239444	+	3206
191	HES3	chr1	6244178	6245578	+	1401
192	GPR153	chr1	6247352	6255251	-	7900
193	ACOT7	chr1	6264271	6360714	-	96444
194	HES2	chr1	6415231	6419919	-	4689
195	MIR4252	chr1	6429833	6429896	-	64
196	ESPN	chr1	6450517	6456671	+	6155
197	TNFRSF25	chr1	6461150	6466195	-	5046
198	PLEKHG5	chr1	6466091	6520061	-	53971
199	NOL9	chr1	6545221	6554535	-	9315
200	LOC107984912	chr1	6567547	6579433	-	11887
201	TAS1R1	chr1	6570069	6579755	+	9687
202	ZBTB48	chr1	6579993	6589280	+	9288
203	KLHL21	chr1	6590723	6602869	-	12147
204	LOC107984913	chr1	6603446	6613461	-	10016
205	PHF13	chr1	6615611	6623997	+	8387
206	THAP3	chr1	6624643	6634407	+	9765
207	DNAJC11	chr1	6634167	6701833	-	67667
208	LINC01672	chr1	6724744	6730012	+	5269
209	CAMTA1-DT	chr1	6783891	6784980	-	1090
210	LOC105376692	chr1	7235639	7240139	-	4501
211	CAMTA1-AS2	chr1	7382486	7389754	-	7269
212	CAMTA1-AS1	chr1	7440566	7442144	-	1579
213	LOC105376691	chr1	7503369	7508625	+	5257
214	CAMTA1	chr1	7669729	7769706	+	99978
215	LOC105376689	chr1	7698298	7704032	-	5735
216	VAMP3	chr1	7771274	7778601	+	7328
217	PER3	chr1	7784186	7845177	+	60992
218	UTS2	chr1	7846344	7853415	-	7072
219	TNFRSF9	chr1	7915870	7940839	-	24970
220	PARK7	chr1	7961710	7985505	+	23796
221	ERRFI1	chr1	8011724	8026309	-	14586
222	LOC107984915	chr1	8129154	8147644	-	18491
223	LINC01714	chr1	8208671	8215210	+	6540
224	LOC105376695	chr1	8240089	8248644	+	8556
225	SLC45A1	chr1	8318084	8344167	+	26084
226	RERE	chr1	8352403	8423832	-	71430
227	RERE-AS1	chr1	8424644	8435016	+	10373
228	SNORD128	chr1	8494799	8494913	-	115
229	ENO1	chr1	8860999	8878686	-	17688
230	MIR6728	chr1	8866501	8866590	-	90
231	ENO1-AS1	chr1	8878834	8879885	+	1052
232	LOC112268261	chr1	8905606	8927307	-	21702
233	CA6	chr1	8945867	8975092	+	29226
234	SLC2A7	chr1	8992533	9026384	-	33852
235	SLC2A5	chr1	9035105	9072259	-	37155
236	GPR157	chr1	9100304	9129102	-	28799
237	MIR34AHG	chr1	9148010	9182338	-	34329
238	MIR34A	chr1	9151667	9151777	-	111
239	LNCTAM34A	chr1	9182203	9192086	+	9884
240	H6PD	chr1	9234766	9271331	+	36566
241	SPSB1	chr1	9292893	9369532	+	76640
242	LINC02606	chr1	9425093	9428996	-	3904
243	SLC25A33	chr1	9539464	9585173	+	45710
244	TMEM201	chr1	9588842	9614877	+	26036
245	LOC107985734	chr1	9614640	9622295	+	7656
246	LOC105376712	chr1	9628446	9629428	-	983
247	PIK3CD	chr1	9629888	9728920	+	99033
248	PIK3CD-AS1	chr1	9652609	9654586	-	1978
249	PIK3CD-AS2	chr1	9680844	9687574	-	6731
250	CLSTN1	chr1	9729020	9824526	-	95507
251	CTNNBIP1	chr1	9848275	9910269	-	61995
252	LOC105376717	chr1	9850772	9855490	+	4719
253	LZIC	chr1	9922117	9943391	-	21275
254	NMNAT1	chr1	9943474	9996884	+	53411
255	TMEM274P	chr1	9950571	9960787	-	10217
256	MIR5697	chr1	9967380	9967458	+	79
257	RBP7	chr1	9997227	10016021	+	18795
258	UBE4B	chr1	10095515	10181232	+	85718
259	KIF1B	chr1	10210569	10308597	+	98029
260	LOC105376725	chr1	10357982	10366610	-	8629
261	PGD	chr1	10399063	10420511	+	21449
262	CENPS	chr1	10430432	10442808	+	12377
263	CENPS-CORT	chr1	10430432	10452153	+	21722
264	CORT	chr1	10450030	10451998	+	1969
265	DFFA	chr1	10456521	10472529	-	16009
266	PEX14	chr1	10474945	10630758	+	155814
267	CASZ1	chr1	10637133	10694483	-	57351
268	LOC105376733	chr1	10809017	10815658	-	6642
269	LOC105376735	chr1	10913617	10918697	-	5081
270	C1orf127	chr1	10946472	10982037	-	35566
271	TARDBP	chr1	11012653	11030528	+	17876
272	MASP2	chr1	11037692	11047239	-	9548
273	SRM	chr1	11054588	11060018	-	5431
274	EXOSC10	chr1	11066612	11099869	-	33258
275	EXOSC10-AS1	chr1	11099674	11102105	+	2432
276	MTOR-AS1	chr1	11143897	11149538	+	5642
277	MTOR	chr1	11185556	11262551	-	76996
278	ANGPTL7	chr1	11189323	11195981	+	6659
279	UBIAD1	chr1	11273197	11299572	+	26376
280	LOC105376737	chr1	11311438	11316855	-	5418
281	LOC105376739	chr1	11357944	11364461	+	6518
282	LOC105376740	chr1	11371688	11377536	+	5849
283	DISP3	chr1	11479154	11537551	+	58398
284	LOC112268221	chr1	11495406	11501633	-	6228
285	LINC01647	chr1	11609530	11613355	+	3826
286	FBXO2	chr1	11648386	11654429	-	6044
287	FBXO44	chr1	11654406	11663327	+	8922
288	FBXO6	chr1	11664632	11674145	+	9514
289	MAD2L2	chr1	11674479	11682063	-	7585
290	DRAXIN	chr1	11686634	11721766	+	35133
291	AGTRAP	chr1	11736084	11750771	+	14688
292	C1orf167	chr1	11762187	11790223	+	28037
293	C1orf167-AS1	chr1	11777076	11779619	-	2544
294	MTHFR	chr1	11785722	11805964	-	20243
295	CLCN6	chr1	11806095	11843144	+	37050
296	NPPA-AS1	chr1	11840318	11847616	+	7299
297	NPPA	chr1	11845708	11847783	-	2076
298	NPPB	chr1	11857463	11858945	-	1483
299	RNU5E-1	chr1	11908153	11908272	+	120
300	KIAA2013	chr1	11919590	11926427	-	6838
301	PLOD1	chr1	11934716	11975537	+	40822
302	MFN2	chr1	11980180	12013515	+	33336
303	MIIP	chr1	12019465	12032045	+	12581
304	MIR6729	chr1	12029157	12029222	+	66
305	TNFRSF8	chr1	12063302	12144207	+	80906
306	MIR7846	chr1	12166942	12167038	+	97
307	TNFRSF1B	chr1	12166947	12209222	+	42276
308	MIR4632	chr1	12191712	12191773	+	62
309	LOC107984917	chr1	12214239	12227610	+	13372
310	VPS13D	chr1	12230029	12512047	+	282019
311	SNORA59A	chr1	12507245	12507397	+	153
312	LINC02766	chr1	12525255	12531132	+	5878
313	DHRS3	chr1	12567909	12618210	-	50302
314	MIR6730	chr1	12578956	12579023	-	68
315	AADACL4	chr1	12664589	12667076	+	2488
316	AADACL3	chr1	12716109	12728760	+	12652
317	C1orf158	chr1	12746199	12763699	+	17501
318	PRAMEF12	chr1	12774847	12777906	+	3060
319	PRAMEF1	chr1	12791396	12796628	+	5233
320	LINC01784	chr1	12822685	12823223	-	539
321	PRAMEF11	chr1	12824604	12831410	-	6807
322	HNRNPCL1	chr1	12847376	12848756	-	1381
323	PRAMEF2	chr1	12857085	12861909	+	4825
324	PRAMEF4	chr1	12879211	12886201	-	6991
325	PRAMEF10	chr1	12892895	12898270	-	5376
326	PRAMEF7	chr1	12916646	12920480	+	3835
327	PRAMEF6	chr1	12938471	12947580	-	9110
328	PRAMEF27	chr1	13049807	13053659	-	3853
329	HNRNPCL3	chr1	13061231	13062237	+	1007
330	PRAMEF25	chr1	13073677	13078038	+	4362
331	PRAMEF34P	chr1	13094514	13099717	-	5204
332	HNRNPCL2	chr1	13115487	13116854	-	1368
333	PRAMEF36P	chr1	13127068	13132274	+	5207
334	PRAMEF26	chr1	13148904	13153111	-	4208
335	HNRNPCL4	chr1	13164554	13165482	-	929
336	PRAMEF9	chr1	13175280	13179132	+	3853
337	PRAMEF13	chr1	13196187	13201409	-	5223
338	PRAMEF18	chr1	13222694	13226154	-	3461
339	PRAMEF5	chr1	13254197	13263435	+	9239
340	PRAMEF8	chr1	13281303	13285137	-	3835
341	PRAMEF33	chr1	13303538	13308907	+	5370
342	PRAMEF15	chr1	13315580	13322598	+	7019
343	PRAMEF14	chr1	13341891	13347134	-	5244
344	PRAMEF19	chr1	13368430	13371947	-	3518
345	PRAMEF17	chr1	13389631	13392629	+	2999
346	PRAMEF20	chr1	13410449	13421328	+	10880
347	LRRC38	chr1	13474972	13514003	-	39032
348	LOC102724856	chr1	13486843	13493726	+	6884
349	LOC107984918	chr1	13513219	13517054	+	3836
350	PDPN	chr1	13583756	13617957	+	34202
351	LOC107984919	chr1	13623125	13642847	+	19723
352	LOC105378612	chr1	13670193	13674718	+	4526
353	LOC105376756	chr1	13687102	13691892	-	4791
354	PRDM2	chr1	13704854	13788079	+	83226
355	LOC107985467	chr1	14214242	14221488	+	7247
356	LOC107985468	chr1	14222027	14254889	-	32863
357	KAZN-AS1	chr1	14348954	14419973	-	71020
358	KAZN	chr1	14598684	15118043	+	519360
359	LOC105376759	chr1	14801091	14805544	-	4454
360	LOC107985469	chr1	14886749	14911575	-	24827
361	TMEM51-AS1	chr1	15111814	15152464	-	40651
362	TMEM51	chr1	15152417	15220478	+	68062
363	C1orf195	chr1	15164068	15172153	-	8086
364	FHAD1	chr1	15313056	15400283	+	87228
365	FHAD1-AS1	chr1	15326679	15343883	-	17205
366	LOC101927441	chr1	15402978	15409530	-	6553
367	EFHD2	chr1	15409887	15430339	+	20453
368	CTRC	chr1	15438441	15449247	+	10807
369	CELA2A	chr1	15456731	15472091	+	15361
370	LOC105376767	chr1	15463532	15467379	-	3848
371	CELA2B	chr1	15476103	15491395	+	15293
372	CASP9	chr1	15491400	15524790	-	33391
373	DNAJC16	chr1	15526693	15571987	+	45295
374	SCARNA21B	chr1	15542165	15542304	+	140
375	AGMAT	chr1	15571698	15585051	-	13354
376	DDI2	chr1	15617457	15669044	+	51588
377	RSC1A1	chr1	15659712	15662030	+	2319
378	PLEKHM2	chr1	15681505	15734769	+	53265
379	SLC25A34	chr1	15735087	15741392	+	6306
380	SLC25A34-AS1	chr1	15740050	15749890	-	9841
381	TMEM82	chr1	15742498	15747982	+	5485
382	FBLIM1	chr1	15756614	15786590	+	29977
383	UQCRHL	chr1	15807161	15807699	-	539
384	FLJ37453	chr1	15834214	15848147	-	13934
385	SPEN	chr1	15847706	15940456	+	92751
386	ZBTB17	chr1	15939932	15948497	-	8566
387	SRARP	chr1	16004235	16008807	+	4573
388	HSPB7	chr1	16014027	16019594	-	5568
389	CLCNKA	chr1	16022035	16034050	+	12016
390	CLCNKB	chr1	16048761	16057326	+	8566
391	FAM131C	chr1	16057768	16073651	-	15884
392	EPHA2	chr1	16124336	16156069	-	31734
393	LOC101927479	chr1	16154995	16162949	+	7955
394	ARHGEF19	chr1	16205151	16212671	-	7521
395	ANO7L1	chr1	16217507	16227316	-	9810
396	CPLANE2	chr1	16231691	16237183	-	5493
397	FBXO42	chr1	16246839	16316566	-	69728
398	SZRD1	chr1	16367241	16398145	+	30905
399	SPATA21	chr1	16395605	16437393	-	41789
400	NECAP2	chr1	16440671	16460090	+	19420
401	LINC01772	chr1	16460947	16468481	+	7535
402	CROCCP3	chr1	16467435	16492701	-	25267
403	RNU1-1	chr1	16514121	16514285	-	165
404	LINC01783	chr1	16533890	16535652	-	1763
405	NBPF1	chr1	16562322	16613564	-	51243
406	LOC105376794	chr1	16613597	16624540	+	10944
407	CROCCP2	chr1	16618255	16630906	-	12652
408	MST1P2	chr1	16645573	16650420	+	4848
409	LOC107985736	chr1	16654156	16667145	-	12990
410	RNU1-3	chr1	16666784	16666948	-	165
411	ESPNP	chr1	16691217	16720157	-	28941
412	RNU1-4	chr1	16740515	16740679	+	165
413	MST1L	chr1	16754633	16764480	-	9848
414	MIR3675	chr1	16858948	16859021	-	74
415	LOC112267871	chr1	16872225	16874096	+	1872
416	LOC105376805	chr1	16888537	16889478	-	942
417	RNU1-2	chr1	16895979	16896143	+	165
418	CROCC	chr1	16914081	16972979	+	58899
419	MFAP2	chr1	16974501	16981586	-	7086
420	LOC105376806	chr1	16976292	16977795	+	1504
421	ATP13A2	chr1	16985957	17011972	-	26016
422	SDHB	chr1	17018721	17054032	-	35312
423	PADI2	chr1	17066760	17119453	-	52694
424	LOC105376808	chr1	17135664	17138955	+	3292
425	LINC02783	chr1	17189788	17196387	+	6600
426	PADI1	chr1	17205124	17246005	+	40882
427	PADI3	chr1	17249097	17284233	+	35137
428	MIR3972	chr1	17277888	17277975	+	88
429	PADI4	chr1	17308194	17364004	+	55811
430	PADI6	chr1	17372195	17401699	+	29505
431	RCC2	chr1	17406759	17439677	-	32919
432	ARHGEF10L	chr1	17603572	17697875	+	94304
433	LINC02810	chr1	17717572	17722353	+	4782
434	ACTL8	chr1	17755332	17827063	+	71732
435	LOC105376809	chr1	18001650	18010489	-	8840
436	LOC105376812	chr1	18043753	18052755	+	9003
437	LINC01654	chr1	18065656	18074412	+	8757
438	IGSF21-AS1	chr1	18159958	18176775	-	16818
439	IGSF21	chr1	18278855	18378483	+	99629
440	KLHDC7A	chr1	18480929	18485999	+	5071
441	PAX7	chr1	18630845	18748866	+	118022
442	TAS1R2	chr1	18839598	18859661	-	20064
443	ALDH4A1	chr1	18871429	18902799	-	31371
444	MIR4695	chr1	18883201	18883275	-	75
445	MIR1290	chr1	18897070	18897148	-	79
446	IFFO2	chr1	18904279	18956676	-	52398
447	LOC105376815	chr1	18970477	19051428	-	80952
448	UBR4	chr1	19074507	19214332	-	139826
449	EMC1-AS1	chr1	19210385	19240704	+	30320
450	EMC1	chr1	19215659	19251524	-	35866
451	MRTO4	chr1	19251804	19260128	+	8325
452	AKR7L	chr1	19265981	19274122	-	8142
453	AKR7A3	chr1	19282557	19289360	-	6804
454	LOC100506730	chr1	19293246	19295736	-	2491
455	AKR7A2	chr1	19302707	19312146	-	9440
456	SLC66A1	chr1	19312301	19332611	+	20311
457	CAPZB	chr1	19338777	19408621	-	69845
458	LOC105376819	chr1	19500220	19531797	+	31578
459	LOC105376818	chr1	19509889	19512483	-	2595
460	LOC105376817	chr1	19512539	19530730	-	18192
461	LOC105378614	chr1	19591801	19596832	-	5032
462	MICOS10	chr1	19596976	19629821	+	32846
463	MICOS10-NBL1	chr1	19596978	19658452	+	61475
464	RPS14P3	chr1	19607806	19608644	+	839
465	NBL1	chr1	19643228	19658456	+	15229
466	HTR6	chr1	19664874	19680966	+	16093
467	TMCO4	chr1	19743318	19799349	-	56032
468	RNF186	chr1	19814028	19815283	-	1256
469	LOC105376823	chr1	19860210	19889289	-	29080
470	OTUD3	chr1	19881707	19912941	+	31235
471	PLA2G2E	chr1	19920008	19923617	-	3610
472	PLA2G2A	chr1	19975434	19980434	-	5001
473	PLA2G5	chr1	20028348	20091190	+	62843
474	PLA2G2D	chr1	20111938	20119536	-	7599
475	PLA2G2F	chr1	20139322	20150381	+	11060
476	PLA2G2C	chr1	20163054	20177439	-	14386
477	UBXN10-AS1	chr1	20184241	20186486	-	2246
478	UBXN10	chr1	20186095	20196050	+	9956
479	LOC105376825	chr1	20197305	20202827	+	5523
480	LOC105376826	chr1	20210711	20213349	-	2639
481	LINC01757	chr1	20243094	20244655	+	1562
482	LOC105376828	chr1	20271603	20274507	+	2905
483	VWA5B1	chr1	20290906	20360439	+	69534
484	LINC01141	chr1	20359800	20428794	-	68995
485	CAMK2N1	chr1	20482390	20486210	-	3821
486	MUL1	chr1	20499447	20508483	-	9037
487	FAM43B	chr1	20552572	20555020	+	2449
488	CDA	chr1	20589096	20618903	+	29808
489	PINK1	chr1	20633457	20651511	+	18055
490	MIR6084	chr1	20633678	20633788	+	111
491	PINK1-AS	chr1	20642656	20652193	-	9538
492	DDOST	chr1	20651766	20661544	-	9779
493	KIF17	chr1	20664013	20718007	-	53995
494	SH2D5	chr1	20719730	20732703	-	12974
495	LOC112268222	chr1	20735359	20744479	+	9121
496	HP1BP3	chr1	20740265	20787307	-	47043
497	EIF4G3	chr1	20806291	21176897	-	370607
498	LOC105376830	chr1	20903704	20919273	+	15570
499	LOC105376829	chr1	20927134	20933441	+	6308
500	MIR1256	chr1	20988313	20988432	-	120
501	ECE1	chr1	21217249	21294424	-	77176
502	ECE1-AS1	chr1	21293289	21299869	+	6581
503	LOC105376832	chr1	21412666	21416543	-	3878
504	NBPF3	chr1	21436774	21484900	+	48127
505	ALPL	chr1	21508983	21578410	+	69428
506	LINC02596	chr1	21585689	21591187	+	5499
507	RAP1GAP	chr1	21596220	21669420	-	73201
508	USP48	chr1	21678901	21757748	-	78848
509	LDLRAD2	chr1	21812208	21821728	+	9521
510	HSPG2	chr1	21822243	21898544	-	76302
511	CELA3B	chr1	21977021	21989354	+	12334
512	CELA3A	chr1	22001656	22012542	+	10887
513	LINC01635	chr1	22023993	22026048	-	2056
514	LINC00339	chr1	22025190	22031224	+	6035
515	CDC42-AS1	chr1	22031027	22052926	-	21900
516	CDC42	chr1	22052708	22101360	+	48653
517	WNT4	chr1	22117307	22143981	-	26675
518	LOC105376845	chr1	22151384	22157385	+	6002
519	LOC105376850	chr1	22160962	22172505	+	11544
520	LOC107985377	chr1	22252564	22257967	+	5404
521	MIR4418	chr1	22266238	22266300	+	63
522	LOC105376856	chr1	22416330	22418938	-	2609
523	ZBTB40	chr1	22451850	22531157	+	79308
524	EPHA8	chr1	22563488	22603595	+	40108
525	MIR6127	chr1	22633257	22633366	-	110
526	C1QA	chr1	22636627	22639678	+	3052
527	C1QC	chr1	22643632	22648108	+	4477
528	C1QB	chr1	22653235	22661637	+	8403
529	MIR4684	chr1	22719516	22719598	+	83
530	MIR4253	chr1	22863158	22863226	-	69
531	EPHB2	chr1	22882355	22915330	+	32976
532	LACTBL1	chr1	22953042	22972866	-	19825
533	TEX46	chr1	23010833	23015852	-	5020
534	KDM1A	chr1	23019442	23083691	+	64250
535	MIR3115	chr1	23044304	23044372	+	69
536	LUZP1	chr1	23084029	23177808	-	93780
537	HTR1D	chr1	23191894	23194729	-	2836
538	LINC01355	chr1	23281308	23285518	-	4211
539	HNRNPR	chr1	23304687	23344284	-	39598
540	ZNF436	chr1	23359447	23368386	-	8940
541	ZNF436-AS1	chr1	23368970	23371839	+	2870
542	TCEA3	chr1	23380908	23424748	-	43841
543	ASAP3	chr1	23428562	23484631	-	56070
544	E2F2	chr1	23505695	23530914	-	25220
545	LOC101928163	chr1	23521929	23528419	+	6491
546	LOC105376859	chr1	23550471	23554862	-	4392
547	ID3	chr1	23557925	23559501	-	1577
548	LOC107984928	chr1	23576480	23602302	-	25823
549	MDS2	chr1	23626952	23640549	+	13598
550	RPL11	chr1	23691805	23696835	+	5031
