X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Caffeine.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Caffeine.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Ethanol.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Ethanol.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Nicotine.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Nicotine.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Water.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Water.2.sorted.bam
INTS11	2344	3511	2188	2271	4244	4147	1970	1875
MIR6727	0	0	0	0	0	0	0	0
CPTP	444	626	366	432	672	625	312	330
TAS1R3	62	81	24	22	67	77	23	30
DVL1	621	1022	659	671	1095	1024	567	529
MIR6808	0	0	0	0	0	0	0	0
MXRA8	7	3	2	3	3	4	5	7
AURKAIP1	1547	2327	1657	1655	2929	3004	1359	1359
CCNL2	2074	2982	1689	2044	3808	3488	1566	1475
MRPL20-AS1	591	875	618	513	961	894	449	396
MRPL20	1457	2240	1656	1619	2715	2528	1193	1234
LOC107984868	13	10	7	14	8	14	9	7
ANKRD65	15	6	7	4	8	10	9	4
LOC105378585	0	0	0	3	2	1	1	0
TMEM88B	0	1	1	0	5	5	1	0
LINC01770	15	34	22	20	52	50	26	26
LOC107985729	0	0	3	0	0	2	0	0
VWA1	89	145	108	93	185	211	97	79
ATAD3C	72	126	106	106	128	144	67	84
ATAD3B	1712	2531	1935	2511	3925	3679	1716	1962
ATAD3A	1492	2145	1865	2150	3271	3455	1568	1660
TMEM240	12	22	8	9	26	25	9	3
SSU72	2508	4045	2070	2220	4036	4039	1931	1775
FNDC10	9	9	16	7	11	19	7	9
LOC105378586	10	21	11	5	8	6	4	12
MIB2	1305	1794	971	927	1837	1617	802	747
MMP23B	35	51	20	35	44	62	31	16
CDK11B	3949	5433	3619	3575	6468	5417	2870	2713
SLC35E2B	2120	3179	1317	1521	2819	2733	1460	1141
MMP23A	42	51	19	31	48	56	18	8
CDK11A	3807	5201	3610	3213	6210	5196	2826	2466
SLC35E2A	3511	5157	2688	2581	4719	4623	2336	2023
LOC112268218	119	121	81	83	155	179	77	65
NADK	2408	3538	2199	2295	4292	3972	1998	1740
GNB1	7861	11377	7163	6874	14520	13348	6477	5416
LOC105378949	15	26	7	10	20	23	8	10
CALML6	10	15	13	2	15	11	9	5
TMEM52	0	0	1	0	1	9	2	0
CFAP74	2	8	3	2	1	6	3	3
LOC107984872	0	0	0	0	0	0	0	0
LOC105378589	0	0	0	0	0	0	0	0
GABRD	0	0	1	0	0	0	0	0
LOC105378590	0	0	0	0	0	0	0	0
LOC105378591	0	0	0	0	0	1	0	0
PRKCZ	72	123	54	68	118	97	59	60
PRKCZ-AS1	0	7	1	3	9	9	10	11
FAAP20	672	1111	626	645	1106	1161	571	541
LOC112268219	5	10	2	20	18	21	14	6
LOC105378593	13	24	3	10	24	14	5	7
SKI	1725	3018	1483	1970	3092	3140	1512	1546
MORN1	445	682	345	372	762	671	319	284
LOC100129534	12	6	7	3	11	13	8	3
RER1	2678	3891	2402	2397	4273	3850	2008	1682
PEX10	449	718	427	429	834	700	364	339
PLCH2	246	453	197	205	436	439	177	161
PANK4	860	1296	745	932	1604	1369	719	715
HES5	0	0	3	0	2	0	2	1
TNFRSF14-AS1	1655	2184	961	871	1937	1777	905	744
TNFRSF14	3466	5550	2995	3336	5856	6401	2898	2745
LOC100996583	354	512	298	229	518	424	236	176
PRXL2B	321	473	303	359	544	525	257	284
MMEL1	1	3	5	3	2	8	1	1
MMEL1-AS1	0	0	0	0	0	0	0	0
TTC34	51	86	97	62	206	131	107	92
LOC105378603	0	0	0	0	0	0	1	0
LOC105378602	1	0	3	8	0	7	0	8
LOC105378601	1	1	2	12	2	5	3	8
LOC112268220	3	6	14	21	48	31	12	47
LOC107985732	0	0	0	1	10	5	1	5
LOC105378600	1	2	3	7	9	1	6	5
LOC105378598	6	8	11	19	56	33	12	11
LOC107984904	0	1	3	2	8	0	2	2
LOC105378599	1	1	2	4	4	3	3	2
ACTRT2	0	0	0	0	0	0	0	0
PRDM16-DT	0	0	0	0	0	0	0	0
PRDM16	7	9	5	12	13	12	3	3
MIR4251	0	0	0	0	0	0	0	0
LOC105378606	0	0	0	0	4	1	0	2
LOC107984909	0	0	0	0	0	0	0	0
LOC105378605	0	0	0	0	1	0	2	0
LOC105378604	0	0	0	1	0	0	0	0
ARHGEF16	1	0	0	0	0	0	0	0
MEGF6	10	8	3	5	23	19	3	5
LOC105378608	0	0	0	0	0	0	0	0
MIR551A	0	0	0	0	0	0	0	0
LOC105378607	0	0	0	0	0	0	0	0
TPRG1L	648	961	484	512	889	743	403	375
WRAP73	893	1305	840	873	1590	1426	773	655
TP73	4135	6316	3951	4316	7690	7382	3785	3414
LOC105378610	49	95	43	34	92	81	34	29
LOC105378609	0	1	0	1	3	7	1	3
TP73-AS1	733	1006	640	590	1179	1060	547	431
CCDC27	0	0	0	0	0	0	0	0
SMIM1	14	12	14	8	15	23	10	13
LRRC47	1233	1926	982	1205	1872	1954	944	838
CEP104	1649	2309	1299	1291	2366	2229	1150	982
DFFB	291	409	217	248	361	358	197	191
LOC107984910	14	15	16	11	14	15	4	4
C1orf174	800	1183	727	719	1341	1162	578	470
LINC01134	94	185	88	110	221	197	91	80
LINC01346	5	0	4	0	0	2	0	0
LINC01345	0	0	0	0	0	0	0	0
LINC02780	0	0	0	0	0	1	0	0
LINC01777	0	0	0	0	0	0	0	0
LOC105376674	0	0	0	0	1	0	0	0
LINC01646	0	0	0	0	0	0	0	0
LOC107985376	0	3	0	0	3	1	0	0
AJAP1	0	5	5	1	1	3	1	2
LINC02781	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0	0	0
LOC107984911	1	0	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	0	0	0
MIR4689	1	0	0	0	1	1	2	0
NPHP4	643	1134	557	653	1231	996	566	458
KCNAB2	5865	8647	6463	6481	12330	11604	6179	5219
CHD5	24	55	28	44	90	82	16	30
LOC105376687	0	0	0	0	0	0	0	0
RPL22	26655	29828	22865	15924	34983	29413	13013	11379
LOC107985733	40	71	64	28	97	48	36	35
LOC102724450	4	14	13	0	8	13	5	4
RNF207	640	1002	486	628	887	1027	448	498
ICMT	1037	1456	1239	1269	2262	1971	1075	952
LINC00337	4	11	5	9	10	15	5	0
HES3	0	0	0	0	0	0	0	0
GPR153	100	112	77	71	118	94	82	63
ACOT7	1128	1358	1182	1063	2112	1949	1034	823
HES2	16	14	21	22	53	36	13	7
MIR4252	0	0	0	0	0	0	0	0
ESPN	3	1	1	2	6	4	0	0
TNFRSF25	3	4	0	0	3	0	0	0
PLEKHG5	37	38	24	42	47	53	14	18
NOL9	421	577	356	392	714	628	293	293
LOC107984912	0	4	0	2	2	4	3	0
TAS1R1	0	3	1	4	1	4	1	2
ZBTB48	864	1437	743	842	1325	1222	656	614
KLHL21	569	988	409	549	865	944	408	410
LOC107984913	21	56	32	25	41	50	31	13
PHF13	698	1093	614	688	1131	1041	583	549
THAP3	435	583	306	317	529	501	273	257
DNAJC11	2694	3562	2910	2881	4839	4205	2236	1951
LINC01672	0	0	0	0	0	0	0	0
CAMTA1-DT	17	30	22	16	31	22	11	7
LOC105376692	0	0	0	0	0	0	0	0
CAMTA1-AS2	0	0	0	0	0	0	0	0
CAMTA1-AS1	0	0	0	0	0	0	0	0
LOC105376691	1	2	0	0	1	0	0	0
CAMTA1	7	6	10	22	35	15	10	17
LOC105376689	1	2	0	0	0	1	0	2
VAMP3	360	531	283	279	556	496	248	233
PER3	36	47	63	45	100	60	44	28
UTS2	0	0	0	0	0	0	0	0
TNFRSF9	89	163	77	121	199	187	77	77
PARK7	4963	7418	5061	5100	9358	8230	4059	4116
ERRFI1	75	74	50	60	78	64	28	34
LOC107984915	0	0	0	0	0	0	0	0
LINC01714	0	0	0	0	0	0	0	0
LOC105376695	0	0	0	0	0	0	0	0
SLC45A1	3	10	3	2	11	7	10	4
RERE	8016	12472	6070	6133	11231	11893	5581	4688
RERE-AS1	82	93	47	56	83	85	41	36
SNORD128	8	22	3	7	18	21	7	2
ENO1	37025	51350	36407	35783	70020	66169	34448	29751
MIR6728	0	0	0	0	0	0	0	0
ENO1-AS1	13	31	18	12	30	24	6	10
LOC112268261	2	0	5	2	2	5	2	4
CA6	1	0	0	0	0	0	0	0
SLC2A7	2	1	1	3	1	0	0	2
SLC2A5	4966	7633	2466	2609	5155	5148	2197	2050
GPR157	538	787	440	438	763	743	327	332
MIR34AHG	1503	2621	1827	1946	3539	3328	1606	1579
MIR34A	0	0	0	0	0	0	0	0
LNCTAM34A	263	332	270	217	497	442	190	211
H6PD	2118	3201	1572	1796	3018	3155	1421	1277
SPSB1	311	520	369	327	596	580	319	254
LINC02606	5	4	7	3	8	13	3	8
SLC25A33	495	729	575	552	1150	874	468	435
TMEM201	550	788	576	742	1146	1108	506	558
LOC107985734	32	32	25	20	39	46	26	21
LOC105376712	27	48	14	10	25	33	16	7
PIK3CD	9630	15033	8008	8864	15213	14562	7222	6866
PIK3CD-AS1	86	134	51	39	92	81	31	41
PIK3CD-AS2	164	268	161	170	287	279	151	120
CLSTN1	4538	6628	4669	4409	8611	8332	3985	3709
CTNNBIP1	445	605	405	344	632	634	308	291
LOC105376717	2	7	8	4	7	8	5	5
LZIC	1140	1538	1007	842	1912	1496	751	676
NMNAT1	718	985	540	509	945	761	397	371
TMEM274P	0	0	0	0	0	2	0	0
MIR5697	0	0	0	0	0	0	0	0
RBP7	2	0	0	3	1	5	0	0
UBE4B	2660	3906	2144	2053	3890	3531	1739	1460
KIF1B	535	761	560	478	916	734	487	370
LOC105376725	1	0	0	2	0	4	0	0
PGD	2535	3567	2409	2646	4632	4570	2169	2058
CENPS	302	430	215	204	409	350	172	183
CENPS-CORT	340	479	247	222	460	396	190	204
CORT	6	8	8	4	11	15	4	3
DFFA	1882	2806	1903	1921	3482	2998	1592	1479
PEX14	2168	3153	1839	2023	3651	3430	1708	1547
CASZ1	423	683	342	481	605	697	331	334
LOC105376733	0	0	0	0	0	0	0	0
LOC105376735	0	0	0	0	0	0	0	0
C1orf127	322	497	203	167	411	400	143	123
TARDBP	5608	7822	4986	5172	9285	8125	4176	3777
MASP2	5	4	0	4	8	1	0	0
SRM	1576	2336	1800	2023	3859	3681	1630	1428
EXOSC10	2743	3685	2305	2229	4476	3850	2019	1671
EXOSC10-AS1	14	21	6	11	28	24	11	8
MTOR-AS1	1	0	1	0	0	0	0	0
MTOR	1330	1945	1152	1391	2233	2054	1046	975
ANGPTL7	0	2	0	2	0	0	0	0
UBIAD1	615	870	540	643	943	864	474	465
LOC105376737	0	0	0	0	0	0	0	0
LOC105376739	0	0	0	0	0	0	0	0
LOC105376740	5	3	0	4	6	5	1	0
DISP3	9	19	1	6	11	13	10	10
LOC112268221	0	0	1	0	0	0	0	0
LINC01647	1	1	1	0	0	3	0	0
FBXO2	23	19	16	17	34	42	9	5
FBXO44	522	703	417	405	781	674	341	294
FBXO6	631	883	597	637	1005	1096	476	447
MAD2L2	610	818	514	616	963	971	408	404
DRAXIN	6	7	6	1	11	3	0	1
AGTRAP	330	445	307	308	562	472	231	207
C1orf167	13	11	2	2	5	4	5	4
C1orf167-AS1	3	0	0	0	0	0	0	0
MTHFR	1420	2036	1397	1324	2492	2520	1278	1051
CLCN6	1704	2443	1837	2028	3711	3480	1709	1560
NPPA-AS1	488	687	531	534	993	1079	442	424
NPPA	0	0	0	0	0	0	0	0
NPPB	0	0	0	0	0	0	0	0
RNU5E-1	7	17	9	8	12	16	7	5
KIAA2013	1450	2296	1406	1389	2770	2690	1256	1103
PLOD1	1803	2600	2017	1954	3569	3388	1849	1618
MFN2	2401	3602	2118	2363	4361	3827	1970	1917
MIIP	1105	1787	951	1074	1763	1770	763	724
MIR6729	0	0	0	0	0	0	0	0
TNFRSF8	4251	6823	4163	4464	7559	7240	3550	3505
MIR7846	0	0	0	0	0	1	0	0
TNFRSF1B	4677	7470	4860	5132	8914	8890	4352	3945
MIR4632	0	0	0	0	0	0	0	0
LOC107984917	7	14	3	2	10	17	5	4
VPS13D	3805	5258	2981	3080	5892	4973	2780	2231
SNORA59A	0	2	0	0	0	0	0	0
LINC02766	2	2	0	1	1	1	0	0
DHRS3	79	129	44	60	121	78	43	30
MIR6730	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0	0	0
PRAMEF12	0	0	0	0	4	0	0	0
PRAMEF1	0	0	1	0	0	0	2	2
LINC01784	0	0	0	0	0	0	0	0
PRAMEF11	0	4	0	0	3	0	4	0
HNRNPCL1	0	1	0	0	0	0	2	0
PRAMEF2	0	1	0	0	1	1	0	0
PRAMEF4	0	4	3	0	3	2	0	0
PRAMEF10	0	0	0	0	0	0	0	0
PRAMEF7	6	3	1	6	5	5	5	5
PRAMEF6	0	3	1	0	6	1	1	0
PRAMEF27	0	0	0	0	0	1	0	0
HNRNPCL3	0	0	0	0	0	0	0	0
PRAMEF25	2	0	0	0	1	0	4	0
PRAMEF34P	6	3	5	5	6	19	7	6
HNRNPCL2	0	0	0	0	0	0	0	0
PRAMEF36P	6	3	5	5	6	19	7	6
PRAMEF26	2	0	0	0	1	0	1	0
HNRNPCL4	0	0	0	0	0	0	0	0
PRAMEF9	0	1	0	0	6	0	1	0
PRAMEF13	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0
PRAMEF5	0	1	0	0	4	0	1	0
PRAMEF8	7	5	2	16	6	14	4	9
PRAMEF33	0	0	0	0	0	0	0	0
PRAMEF15	0	1	1	0	5	3	1	0
PRAMEF14	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	1	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0	0	0
LOC102724856	0	0	0	0	0	0	0	0
LOC107984918	0	0	0	0	0	0	0	0
PDPN	1	0	0	0	0	0	0	0
LOC107984919	0	0	0	0	0	0	0	0
LOC105378612	1	0	0	0	0	0	0	0
LOC105376756	1	0	0	1	0	0	0	0
PRDM2	6453	9239	5089	4889	9290	8052	4174	3531
LOC107985467	1	7	0	1	3	4	1	0
LOC107985468	0	0	0	0	0	0	0	0
KAZN-AS1	3	4	1	0	1	3	0	0
KAZN	470	755	393	495	710	674	331	368
LOC105376759	0	0	0	0	1	0	0	0
LOC107985469	1	0	0	0	0	0	0	0
TMEM51-AS1	5	7	9	3	6	7	1	1
TMEM51	86	150	77	82	140	147	78	69
C1orf195	0	1	0	0	0	0	0	0
FHAD1	7	22	23	13	32	31	15	7
FHAD1-AS1	2	0	0	1	1	0	0	0
LOC101927441	3	14	3	5	8	8	4	0
EFHD2	2339	3661	2402	2477	4797	4786	2242	2060
CTRC	1	4	5	0	7	4	2	0
CELA2A	0	0	0	0	0	1	0	0
LOC105376767	0	2	0	1	5	2	0	2
CELA2B	0	0	0	0	3	2	0	1
CASP9	480	694	349	361	671	631	281	262
DNAJC16	1142	1616	861	858	1775	1462	740	631
SCARNA21B	0	0	0	0	0	0	0	0
AGMAT	227	358	237	233	417	328	175	176
DDI2	4917	6893	3279	3397	6309	5651	2959	2425
RSC1A1	790	1149	594	509	1145	939	532	361
PLEKHM2	2806	3909	2449	2551	4619	4318	2326	2066
SLC25A34	73	99	63	36	93	107	59	46
SLC25A34-AS1	0	0	0	0	0	0	0	0
TMEM82	0	0	0	0	0	0	1	0
FBLIM1	0	3	0	1	0	1	1	0
UQCRHL	108	133	148	65	194	103	69	78
FLJ37453	243	344	184	152	376	334	159	157
SPEN	6861	9635	6288	6276	12060	10886	5717	4853
ZBTB17	787	1215	735	768	1353	1332	684	537
SRARP	0	0	0	1	1	1	0	0
HSPB7	0	0	0	0	0	0	0	0
CLCNKA	14	21	12	13	22	18	9	9
CLCNKB	0	0	0	0	0	0	0	0
FAM131C	4	5	3	0	4	1	4	0
EPHA2	3	4	9	3	28	19	4	3
LOC101927479	9	3	2	3	8	4	6	2
ARHGEF19	35	63	26	18	55	47	29	14
ANO7L1	17	7	13	6	34	4	4	9
CPLANE2	107	141	71	75	160	131	48	56
FBXO42	1609	2513	1610	1558	3029	2909	1403	1277
SZRD1	6183	9101	5846	6302	10987	9896	4848	4847
SPATA21	19	32	14	9	17	21	6	16
NECAP2	2304	3589	1931	2019	3477	3267	1601	1502
LINC01772	180	194	122	118	211	192	113	84
CROCCP3	504	723	325	338	681	593	350	311
RNU1-1	83	243	338	116	179	194	51	169
LINC01783	8	18	12	10	24	18	16	11
NBPF1	631	926	532	373	910	758	331	272
LOC105376794	2	2	4	2	3	3	2	5
CROCCP2	3571	5149	1913	1874	3428	3178	1603	1452
MST1P2	89	150	76	59	131	136	66	62
LOC107985736	88	270	366	123	206	210	72	184
RNU1-3	79	222	337	110	175	172	55	163
ESPNP	3	1	1	1	2	1	0	2
RNU1-4	19	59	96	39	58	47	12	39
MST1L	47	71	32	32	57	56	13	25
MIR3675	0	0	0	0	0	0	0	0
LOC112267871	30	56	27	22	58	54	33	16
LOC105376805	19	29	20	9	16	10	8	3
RNU1-2	17	52	84	41	49	45	9	40
CROCC	396	629	340	306	618	535	273	242
MFAP2	0	2	0	0	2	0	2	1
LOC105376806	0	0	0	0	0	0	0	0
ATP13A2	1207	1832	1049	1146	2062	2004	1058	940
SDHB	1829	2354	1808	1687	3199	2837	1384	1117
PADI2	72	118	51	48	108	87	68	34
LOC105376808	0	0	0	0	0	0	0	0
LINC02783	0	0	1	0	0	0	0	0
PADI1	0	0	0	1	0	0	0	0
PADI3	0	1	0	3	0	5	1	0
MIR3972	0	0	0	0	0	0	0	0
PADI4	9	7	8	10	25	19	2	8
PADI6	1	0	0	1	0	0	0	1
RCC2	6872	10355	5894	6535	11436	11280	5203	4953
ARHGEF10L	79	81	53	38	107	105	48	36
LINC02810	0	0	0	0	0	0	0	0
ACTL8	1	2	1	0	0	0	0	0
LOC105376809	0	0	0	0	0	0	0	0
LOC105376812	0	0	0	0	0	0	0	0
LINC01654	0	0	0	0	0	0	0	0
IGSF21-AS1	0	0	0	0	0	0	0	0
IGSF21	16	8	11	2	18	19	5	2
KLHDC7A	0	0	0	0	0	0	0	0
PAX7	3	0	0	0	1	0	0	1
TAS1R2	0	5	1	1	2	1	1	1
ALDH4A1	422	701	414	447	759	750	372	324
MIR4695	0	0	0	0	0	0	0	0
MIR1290	0	0	0	0	0	0	0	0
IFFO2	1176	1866	1057	1085	1977	1842	904	930
LOC105376815	1	0	0	0	0	3	2	0
UBR4	15933	22543	13943	13411	26328	23839	13326	10194
EMC1-AS1	606	877	486	499	890	729	395	332
EMC1	1607	2226	1471	1558	2671	2459	1306	1164
MRTO4	1049	1346	1162	1181	2133	1923	1019	924
AKR7L	2	15	3	3	14	16	10	8
AKR7A3	15	32	7	15	17	29	10	4
LOC100506730	38	64	44	17	64	73	30	30
AKR7A2	801	1203	618	744	1280	1240	560	478
SLC66A1	369	520	376	371	656	620	309	268
CAPZB	10353	15471	9382	9902	17465	15834	8241	7795
LOC105376819	11	20	4	4	14	12	2	1
LOC105376818	0	0	0	0	0	0	0	0
LOC105376817	0	0	0	1	1	0	0	0
LOC105378614	3	3	0	1	0	3	1	3
MICOS10	2881	4153	2971	2648	5358	4096	2256	2033
MICOS10-NBL1	2908	4197	2997	2687	5412	4139	2285	2060
RPS14P3	90	158	32	97	133	91	57	54
NBL1	25	38	20	32	47	38	25	25
HTR6	9	20	9	8	25	23	15	13
TMCO4	1232	1999	927	1069	1645	1615	723	831
RNF186	0	0	0	0	0	0	0	0
LOC105376823	0	2	0	2	0	2	0	0
OTUD3	632	852	641	667	1135	998	546	447
PLA2G2E	0	0	0	0	0	0	0	0
PLA2G2A	0	0	0	0	0	0	0	0
PLA2G5	1	2	0	2	1	0	0	0
PLA2G2D	1	7	0	2	6	2	1	4
PLA2G2F	0	0	0	0	0	1	0	0
PLA2G2C	1	0	0	0	3	2	0	0
UBXN10-AS1	1	0	0	1	0	0	0	0
UBXN10	1	1	2	1	0	0	1	0
LOC105376825	0	0	0	0	0	0	0	0
LOC105376826	0	0	0	0	0	0	0	0
LINC01757	0	0	0	0	0	0	0	0
LOC105376828	0	0	0	0	0	0	0	0
VWA5B1	1	4	4	2	3	1	5	3
LINC01141	2	1	1	0	2	1	0	0
CAMK2N1	0	1	0	0	0	0	1	0
MUL1	489	768	383	360	726	646	321	298
FAM43B	0	0	0	0	0	0	0	0
CDA	31	47	12	14	15	31	15	8
PINK1	138	217	72	79	140	130	65	64
MIR6084	0	0	0	0	0	0	0	0
PINK1-AS	552	770	511	388	763	646	289	294
DDOST	6243	9285	5282	5530	9930	9399	4319	4258
KIF17	5	3	3	9	3	5	1	1
SH2D5	7	7	10	28	30	15	21	26
LOC112268222	1	6	2	0	5	0	0	1
HP1BP3	9770	13079	7922	6824	14886	12449	6514	5183
EIF4G3	7238	10733	8041	8059	14945	13047	7130	6086
LOC105376830	1	2	0	0	2	2	2	3
LOC105376829	3	1	0	0	3	2	0	0
MIR1256	0	0	0	0	0	0	0	0
ECE1	997	1562	994	1114	1710	1790	880	844
ECE1-AS1	24	50	21	21	43	32	17	16
LOC105376832	0	0	0	0	1	0	0	0
NBPF3	398	569	289	242	515	411	238	212
ALPL	2	2	0	2	4	0	2	3
LINC02596	0	0	0	0	0	0	0	0
RAP1GAP	21	29	25	24	48	49	16	18
USP48	7195	10424	5767	5608	11394	9631	5082	3978
LDLRAD2	12	24	11	4	30	37	21	6
HSPG2	174	254	154	151	316	281	166	128
CELA3B	0	0	0	0	0	0	0	0
CELA3A	0	0	0	0	0	1	0	0
LINC01635	7	10	4	3	13	11	5	5
LINC00339	459	731	351	289	629	553	294	224
CDC42-AS1	16	42	10	15	21	15	6	9
CDC42	8388	12095	8347	7700	14091	12799	6302	5432
WNT4	0	3	5	5	1	9	2	3
LOC105376845	1	2	1	3	8	2	2	2
LOC105376850	5	3	3	4	4	5	4	5
LOC107985377	0	0	2	2	0	1	0	0
MIR4418	0	0	1	0	0	0	0	0
LOC105376856	0	0	0	0	0	0	0	0
ZBTB40	1901	2484	1536	1485	2650	2426	1299	1072
EPHA8	3	1	2	2	3	1	0	0
MIR6127	0	0	0	0	0	0	0	0
C1QA	0	0	0	0	0	0	0	0
C1QC	0	0	0	0	0	0	0	0
C1QB	0	0	0	0	0	0	0	0
MIR4684	0	0	0	0	0	0	0	0
MIR4253	0	0	0	0	0	0	0	0
EPHB2	2	3	4	8	8	13	3	12
LACTBL1	0	0	0	0	0	0	0	1
TEX46	6	18	7	4	4	4	5	2
KDM1A	4110	5587	3772	3518	6928	6002	3348	2587
MIR3115	0	0	0	0	0	0	0	0
LUZP1	1896	2555	1896	1753	3478	3079	1749	1333
HTR1D	0	0	0	0	1	1	0	0
LINC01355	273	352	191	215	428	386	187	137
HNRNPR	6068	8359	5879	5848	10537	8973	4783	4377
ZNF436	246	280	174	175	330	326	148	100
ZNF436-AS1	125	192	93	102	159	136	54	64
TCEA3	3	4	3	5	1	2	3	1
ASAP3	1	11	3	6	11	6	2	8
E2F2	1151	1602	1096	1015	2206	1929	987	800
LOC101928163	2	0	0	1	0	0	0	3
LOC105376859	48	57	40	32	61	56	16	23
ID3	2514	3844	1833	2017	3670	3794	1697	1561
LOC107984928	35	59	22	22	47	33	24	24
MDS2	112	143	70	55	141	94	61	40
RPL11	33661	42937	37571	24359	51638	45407	22517	19903
ELOA	2105	2824	1693	1726	3227	2820	1470	1354
